"","logFC","logCPM","F","PValue","FDR"
"Rpl8",-3.02344809830936,10.4571189180012,271.063428501464,1.12531029603913e-55,1.8608131055303e-51
"Sst",-4.07135516487644,11.6389909259822,240.160768083289,1.6927641808628e-50,1.39957742473736e-46
"Oaz1",-3.07832697064763,10.4528367519978,267.113631069621,3.62913824096597e-49,2.00038099842044e-45
"Hnrnpa2b1",-2.44199540431075,10.6994867738702,209.45491640522,1.2127845058489e-44,5.01365114717936e-41
"C130073E24Rik",-2.91554174965048,10.4550402572887,197.540249333723,2.42179904707429e-42,8.00937380848411e-39
"Cst3",-3.0280703217878,10.4227957344047,186.255714077927,2.24648969994218e-38,6.19132561304064e-35
"Atp5g3",-2.58884896759328,10.4408987368372,174.435354659107,2.55129579328808e-35,6.02688960540166e-32
"AC149090.1",-2.02381231455799,10.9899579509473,157.438167599057,1.77140474094521e-34,3.66149359953375e-31
"Slc25a4",-2.35113785291195,10.4782361512099,151.566124976089,2.6069307087853e-33,4.78980068894152e-30
"Hap1",-2.42649702037607,10.4901314857035,150.728359578591,3.829044161456e-33,6.33170742538365e-30
"Ly6h",-2.41274961887114,10.4057475590956,162.758195396375,1.07586274836324e-32,1.61731512790314e-29
"Nap1l5",-2.24877763541777,10.5323832316337,143.597082163596,1.01827885674128e-31,1.40318826458949e-28
"Tmem59l",-2.34227152676171,10.4589041248277,145.859547463389,3.62683410362364e-30,4.61333297980927e-27
"Pgrmc1",-2.31552470777877,10.3822645688799,144.108976183539,3.87168499258146e-28,4.57301307409479e-25
"Actb",-1.98015589539544,10.7627023792091,125.312844931279,4.90476268292299e-28,5.40701038165431e-25
"Calm1",-2.12069080555093,10.7543514143695,123.801079091386,9.93268001479913e-28,1.02654247952949e-24
"Rpl27a",-2.36275926484277,10.2842608927403,181.921303249779,6.31811003241048e-27,6.14566279387881e-24
"Actg1",-1.83391634094608,10.7210954106632,106.309515735967,3.67450685553335e-24,3.37564696461664e-21
"Tmem59",-2.1936580225291,10.3156977430371,137.386815902001,8.28950331723486e-23,7.04482736890715e-20
"Chd3os",-2.26829590190674,10.3700073899093,130.70198704211,8.52059430201639e-23,7.04482736890715e-20
"Rreb1",-2.01836238485309,10.3653676063601,97.3513011042983,2.56490267663798e-22,2.01967765051836e-19
"Hint1",-2.13039551574382,10.2856354773746,140.273362549496,1.85398965133035e-21,1.39352603974539e-18
"Mettl26",-2.15034115039835,10.2262296452384,199.195858480543,8.42909842989167e-21,6.06015528855168e-18
"Cd81",-1.83578580717586,10.4421031283429,89.8862429728869,9.0050291519796e-21,6.20446508571394e-18
"Snrnp70",-1.47700992952145,10.8428742705129,89.7100081888063,9.79645679934029e-21,6.47976838535564e-18
"Usp11",-1.78576809779039,10.4403118074809,92.1892168216417,1.12721407946665e-20,7.16908154540791e-18
"AC124490.1",-2.12618681046314,10.2392790818453,145.004640637082,3.46997842278268e-20,2.12516900737535e-17
"Grcc10",-2.03069558617307,10.2911238792907,129.354812479314,5.57385115678814e-20,3.29175724030888e-17
"Syngr3",-1.95677038280881,10.3452654002338,104.245297525988,3.54958962958981e-19,2.02400048672059e-16
"Atp6v0c",-1.43363654557526,11.1091735132974,81.5315544598042,4.94308264948374e-19,2.71638708979072e-16
"Ckb",-1.52212092908872,10.8182975329228,81.4696699751855,5.09240443780312e-19,2.71638708979072e-16
"Spock3",-1.79694205676998,10.4108329606289,77.7354840803883,3.07576138204669e-18,1.58939969417263e-15
