"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-1.08691900408061,1.14315528545411,-10.2665347348274,2.18060872420788e-24,3.52408175919236e-20,44.5213955278169
"Tfap2b",0.195186878179123,0.0265656610144604,9.70434155755292,5.41016954329468e-22,4.37168749945927e-18,39.1181537346242
"Snhg11",0.622172870055122,0.2439015630079,9.16273783319843,8.34789014768399e-20,4.49700842255736e-16,34.1858428117941
"Glra3",0.30260765278901,0.101914867909544,8.48138697318142,3.22095324511102e-17,1.30134563485598e-13,28.3650853095558
"Ptgds",-0.638618362967958,0.553188485826548,-7.65955935647436,2.39105404819285e-14,7.72836489456892e-11,21.9196559900174
"Ptma",-0.679453216536919,3.03366277846738,-6.96115064048087,4.00335938667255e-12,1.07830485080025e-08,16.9417297151724
"Cadm2",0.500580400114796,0.411826371260322,6.91802951795846,5.41008324621187e-12,1.24903364774329e-08,16.6495277086717
"Malat1",0.982968908196882,2.6053831501666,6.840803222622,9.23673624415659e-12,1.86593618052268e-08,16.1306350712028
"Cacnb2",0.152590650327956,0.0472967221508115,6.8198679397742,1.06678383119809e-11,1.91558816622137e-08,15.9909455220506
"Lamp5",0.130106364128203,0.0260833009496604,6.71563265200566,2.17209137639427e-11,3.51031687339078e-08,15.3016495122683
"Rmst",0.178369570496239,0.0555336533016581,6.6200631560082,4.13140830495874e-11,6.06978996513074e-08,14.6787533107095
"Dnm1",0.300266060118854,0.156170326171737,6.50440001005354,8.89242705608961e-11,1.19758761377887e-07,13.9365414313853
"Pfkp",0.249013843712921,0.124281980401749,6.47043826202449,1.11105034191136e-10,1.38120650581766e-07,13.7210335964748
"Luzp2",0.338672624164192,0.21251330681165,6.33249985601809,2.71444993163904e-10,3.13344466751561e-07,12.857059224356
"Apoe",0.422217091888101,0.320334462216792,6.31593938726858,3.01809562947072e-10,3.25169623119175e-07,12.7545562676059
"Agbl4",0.0780343596456698,0.0155183610660037,6.14939416877774,8.6417761844066e-10,8.72873405726219e-07,11.7383011558807
"Atp1a3",0.364918931216379,0.27929741865581,6.09896222786969,1.18223274554488e-09,1.12388608239711e-06,11.4358083714711
"Klhl1",0.105223135062228,0.0247001373989204,6.08041652382893,1.32583470366684e-09,1.19037859144221e-06,11.3251837942237
"H3f3b",-0.657871853948207,2.45004224793459,-5.99886125776533,2.1865034201549e-09,1.85979377753281e-06,10.842624941197
"Ahi1",0.467075434200361,0.498957988517201,5.98400857598852,2.39344358219508e-09,1.92951300879656e-06,10.7554294057264
"Car8",0.124987655341966,0.0283966534773162,5.97636501010348,2.50725655496119e-09,1.92951300879656e-06,10.710638918368
"Nefl",0.384354514994328,0.307567733570168,5.95860058878025,2.79251916255265e-09,2.05135919027334e-06,10.6067579834207
"Shc2",0.113756231877463,0.032509547831956,5.92758023597025,3.3682415718e-09,2.36670226268956e-06,10.4260870667777
"Rbms1",0.152300047329423,0.0536175258342044,5.87889241287898,4.51209295744021e-09,2.91905310400792e-06,10.1443801559021
"Cdh7",0.138174786229562,0.0445036959677394,5.87876317974179,4.51558242684227e-09,2.91905310400792e-06,10.1436354463792
"Oxct1",0.444987067611006,0.458723409084089,5.80312852797207,7.07992002906727e-09,4.40071490729832e-06,9.71054310737917
"Rpl13",-0.562834441436396,3.02253453345199,-5.78532648883213,7.86425415157711e-09,4.56117678647666e-06,9.60940645281032
"Sgcz",0.13178665529483,0.0441599095144131,5.78280651914846,7.98189594967409e-09,4.56117678647666e-06,9.59511467318591
"App",0.548364101341854,0.810123457946464,5.77854442965527,8.18477364072912e-09,4.56117678647666e-06,9.57095652300818
"Meg3",0.653056514597887,0.715235581932002,5.76347374708359,8.94316395711173e-09,4.81768242369609e-06,9.48567383429093
