"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Oaz1",-1.32644461655875,0.628703651825599,-12.7064497700181,1.05587753123716e-34,1.71886303310097e-30,67.0175799097914
"Calm1",-1.49051823880729,1.17201173607579,-11.7136859771983,5.15483262411079e-30,4.19577601439497e-26,56.6087165057916
"Atp5g3",-1.12242022329587,0.513429430919394,-11.5963926729972,1.76549229066802e-29,9.58014966659489e-26,55.4221409794068
"Rpl8",-1.27216285258534,0.646186605690554,-11.4721450003767,6.43663342257933e-29,2.61954888715422e-25,54.1754330565123
"Cst3",-0.967290533655732,0.469012085831671,-10.2351789149611,1.37631823281849e-23,4.48101690241043e-20,42.3542344435092
"Tmem59l",-1.05510408573301,0.585489329376975,-10.0147183581916,1.08906121009885e-22,2.95480457319985e-19,40.3635374638356
"Hnrnpa2b1",-1.29579540421143,1.19759863835688,-9.67865925668469,2.37379364311005e-21,5.52042667374122e-18,37.3988734271571
"Rpl27a",-0.815066989071871,0.344910813080143,-9.62360072726744,3.90046198171202e-21,7.93695257503625e-18,36.9212848186879
"Syt1",-1.19197214263181,3.02220905703841,-9.60100570886628,4.77890966293056e-21,8.64398560031629e-18,36.7259582579087
"AC149090.1",-1.29712712336037,1.61935296376014,-9.41099896132226,2.59595761092544e-20,4.22595939482552e-17,35.0988406399798
"Ly6h",-0.988021567478946,0.557800505138904,-9.39682450633635,2.9419467305262e-20,4.353813711476e-17,34.9785676916684
"Actg1",-1.20462073908089,1.12311874168839,-8.95890277326351,1.29852886634241e-18,1.76156261793234e-15,31.3394345614865
"Actb",-1.21409783739269,1.22037221624598,-8.94523819705219,1.45784051189e-18,1.82555274561979e-15,31.2282910585084
"Chd3os",-0.75955350345548,0.366722037661309,-8.77129882218947,6.27733675277377e-18,7.29919749988601e-15,29.8263891366907
"Tmem59",-0.7770307210162,0.352795675063632,-8.73651791584972,8.38097181289708e-18,9.09558934281011e-15,29.5489376139359
"Ptma",-0.687299793819939,0.296392921064536,-8.5593490747573,3.59808052959888e-17,3.66082205883376e-14,28.1505888044542
"Sncb",-0.934161512782489,0.656915735098106,-8.35606122692291,1.85551513715838e-16,1.77681946575302e-13,26.5770738741173
"G3bp2",-0.978149994554179,0.742878610496391,-8.15210407169279,9.29836410500089e-16,8.40933718140609e-13,25.0319460108212
"Slc25a4",-0.920968446260251,0.679335708966007,-8.08564587189674,1.560474664148e-15,1.33699826619291e-12,24.5357889904967
"Atp1b1",-1.13807430573409,1.52581487544915,-7.92241111266079,5.47992894450945e-15,4.46038816438346e-12,23.3324810284664
"Selenof",-0.489312611744097,0.184764518932116,-7.77916754606124,1.62006498050405e-14,1.25585894369645e-11,22.2946137331283
"Pdlim7",-0.901417679157934,0.706316353232501,-7.6980173404224,2.97105983977214e-14,2.19844923325685e-11,21.7141791672827
"Uchl1",-0.962445235695352,0.96338817613801,-7.60637579028062,5.85393354296473e-14,4.14331235417056e-11,21.0652868939615
"Pgrmc1",-0.790687548486737,0.549360569766991,-7.46673796409506,1.62301359953548e-13,1.10087659945158e-10,20.0900265189041
