"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mid1",-0.607981843243112,0.261178942847507,-5.10428678176789,4.55731250147584e-07,0.00698636006476246,5.46127278925323
"Gas7",0.556659823886013,0.237648921232474,4.93030384876343,1.08365744384913e-06,0.00830623430710358,4.73628682557341
"mt-Atp8",0.376860891192405,0.102869877451633,4.79849000813815,2.0536162781463e-06,0.0104939791813276,4.20219043646961
"Rab26",0.428253218641604,0.190950495746511,4.60331937403851,5.1502587567522e-06,0.0197383666852528,3.43563611554281
"Malat1",0.27193478199173,5.75405701828729,4.21312018498587,2.93563388603341e-05,0.0900065349457843,1.99108196359541
"Gpm6a",0.696875981954229,0.549116879794277,4.16774390110066,3.56371684859397e-05,0.091052965481576,1.83079590938052
"Laptm5",-1.07117415759508,1.22476567268844,-4.05461585164244,5.73392699606272e-05,0.125573001213774,1.43823823628187
"Setd5",0.801315141704619,0.887349407907033,3.99697408254962,7.27509428195542e-05,0.139408994177971,1.24210530837397
"Rwdd1",0.291874986724939,0.101531252118447,3.9112905599905,0.000103086241923243,0.153364658217368,0.955425071124033
"Ctsd",-1.10222930567092,1.6761424015906,-3.90482961276454,0.000105803862474749,0.153364658217368,0.934044572310223
"Add2",0.469047318670596,0.297150543726877,3.89505063866618,0.000110046395328836,0.153364658217368,0.901747299707769
"C1qb",-1.08563096079107,1.606040338346,-3.83090370368362,0.000142127969221025,0.172405245890818,0.691777282681715
"AC149090.1",-0.945543507813517,1.95455239104717,-3.82376255773103,0.00014620144791785,0.172405245890818,0.668605533275655
"Mtss1",-0.518496409459205,0.315817293564325,-3.80493552991507,0.000157475637384973,0.172435822936545,0.607710521743319
"Fam208b",0.634269643537963,0.523385649965508,3.78228719683155,0.000172125419553085,0.175912178783253,0.534831312494349
"Traip",0.216307495573055,0.0662612466204355,3.75794823267337,0.000189296833026955,0.181370028143951,0.45696963770204
"Hectd2",0.301516757797145,0.134811913976224,3.71587911431033,0.000222841307010696,0.200950425674939,0.323507979353704
"Cox7a2",0.422817011209438,0.229014011706631,3.67077235758651,0.000264982262138084,0.225676559920935,0.181988316903269
"Nrgn",0.632938522588227,0.518017584557161,3.63681683476476,0.000301530574433973,0.237426862007961,0.0765347298637735
"Tuba1a",0.39005302327447,0.18914412544103,3.62971171954808,0.000309754549260223,0.237426862007961,0.054586298842044
"Pak3",0.354313036432765,0.213508289296231,3.51003453165224,0.000484140136320241,0.323603906494647,-0.308984022127005
"Ppp2r5c",0.408834082024106,0.247939019416199,3.5098411306665,0.000484484741890223,0.323603906494647,-0.309562184429241
"Cul1",0.479775590316522,0.337146304616478,3.50926570366624,0.000485511405699732,0.323603906494647,-0.311282214638932
"Tmem63c",0.188456940801052,0.0679742545042628,3.49675461628371,0.000508342711074384,0.324703906698763,-0.348613231880496
"Jmjd4",0.168464417764239,0.0506826818840698,3.4450882613732,0.000613677646310393,0.376307132717533,-0.501432371933669
"Il10ra",-0.766006662171739,0.809878200794173,-3.38466369833144,0.000762597417698507,0.429704050780436,-0.677405021479229
"mt-Cytb",0.342748156158522,0.158814801089841,3.38377657014815,0.000765015491787055,0.429704050780436,-0.679966447045761
"Nxph1",0.399473986817089,0.250537751129916,3.37659763037389,0.000784847581334129,0.429704050780436,-0.700670781149499
"L3mbtl3",0.158023136486142,0.0544988068466387,3.35799888947011,0.000838474900553503,0.443235180189145,-0.75411492309572
"Polr1b",0.230364898142135,0.0825661915045451,3.33807013491193,0.000899706576522849,0.445590853459814,-0.811067892110768
"Calr",-0.646983214424051,0.702987741417297,-3.33462873266807,0.000910692110340546,0.445590853459814,-0.820870024323147
"Grn",-0.713341579487355,0.761171924830423,-3.31986758168931,0.000959240909852887,0.445590853459814,-0.862804494654535
