"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm26652",-0.639948913910994,0.00522407276662036,-8.24352285759379,1.57617813101806e-15,1.178193152936e-11,23.6024822490784
"6530403H02Rik",-0.549840189930996,0.00448849134637548,-8.0523467560647,6.32912308790304e-15,2.36550975410376e-11,22.3357445446118
"Cntnap2",-1.36186136874014,0.0309539494821996,-7.94448874534136,1.37202204652875e-14,3.41862159926748e-11,21.6308588567159
"Dlk2",-0.597452975638505,0.00798709984197704,-6.79605472761371,3.16339020286927e-11,5.91158544161195e-08,14.5855739855577
"Map3k5",-1.4755058171218,0.0490538404665082,-6.32298927808364,5.82611434182013e-10,8.7100409410211e-07,11.9420489396428
"Stum",-0.558263907481258,0.0114516379719378,-5.37621496334962,1.18424851110527e-07,0.000147537627008532,7.13955296991582
"Gm33533",0.382168560142264,0.00467961502215018,5.17123417756733,3.40712687500837e-07,0.000318353417383594,6.18920814742223
"5330417C22Rik",0.382168560142264,0.00467961502215018,5.17123417756733,3.40712687500837e-07,0.000318353417383594,6.18920814742223
"Igfbp6",-0.630063559209955,0.0138205975686217,-5.08211528042643,5.33688519416848e-07,0.000443257964737882,5.78625569697489
"AC124561.1",-0.607840467198405,0.0133428197982867,-4.95741853977246,9.8911135108859e-07,0.000739360734938721,5.23293893398563
"Zdbf2",0.94150493385369,0.0346630275440057,4.77125273595598,2.42612523092116e-06,0.00163551232839662,4.42986048150863
"Naa30",-1.72406905633609,0.112420329160376,-4.75456916399138,2.62557163087082e-06,0.00163551232839662,4.35924539553428
"Cpne4",-0.65188726994293,0.0155269420407831,-4.67672090476974,3.78434280296234e-06,0.00217599711170335,4.03270604624704
"Celf5",-1.46077998207389,0.0916992239295363,-4.59547674027429,5.5123435645249e-06,0.00294319772463026,3.69714382889169
"Arntl2",-0.737638135726835,0.0206255498274214,-4.57813433473194,5.96888114377662e-06,0.00297449243664868,3.62620778258534
"Klhl29",-0.563485044697379,0.0134639532969022,-4.53936064684304,7.1245421920388e-06,0.00331005193932563,3.46849545224225
"Eef2k",-1.18173038616791,0.0569157749833936,-4.52723974695158,7.52787732020545e-06,0.00331005193932563,3.41944472180158
"Abca5",-1.7951580172776,0.162961602172294,-4.30974930430236,1.97993147887296e-05,0.00822221544698632,2.55974487551972
"Ahr",0.392013264690396,0.00817548969842556,4.23841197687172,2.69534132183265e-05,0.0106040402003679,2.2862433704251
"Sestd1",-1.55716025087022,0.119640910510183,-4.21556173017531,2.97253226475009e-05,0.0111098393395034,2.19952860807188
"Col12a1",0.358695129859266,0.00741019772853984,4.19069675266495,3.30497656791241e-05,0.0117641427834025,2.10566050138071
"Tbl3",-1.3119915334277,0.0878217148542284,-4.12646077297202,4.33563410777247e-05,0.0147313022525451,1.86554263496001
"Paqr9",-0.598554873315567,0.0207490228640869,-4.00615709241022,7.14020006905179e-05,0.0232056502244183,1.42510825778569
"Lrch2",-1.46819025468824,0.114911561843733,-3.9866684933328,7.73216474045113e-05,0.0240824714311968,1.35490153337363
"Ntng1",-0.891770367784941,0.0399541242270069,-3.95441083562905,8.81545701275423e-05,0.0263582164681351,1.23939639729745
"Mok",-1.13364648470039,0.0730595933734397,-3.89353800912479,0.000112627564352412,0.0323804247513184,1.02381595331279
"Galt",-0.722614096515432,0.0318730563804254,-3.81591898987539,0.000153216876884896,0.0424183761005407,0.753468797395952
"Zfyve28",-0.724445055240667,0.0317222889363503,-3.79680052090862,0.000165151679047542,0.0440896000314419,0.687662299100086
"Api5",-1.44208821280957,0.121641099261478,-3.77473028091303,0.000180019137659937,0.0464014846209666,0.612081394097331
"Bcl2l13",-1.41354432680218,0.125494585471717,-3.75020026696912,0.00019802151726177,0.0493403613843911,0.528562382560146
