"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-1.07629688178025,1.14316529389511,-11.2445281032417,6.00808254235572e-29,9.77034383037888e-25,54.8411640391007
"Tfap2b",0.155022044390867,0.021225886798083,9.50145178625941,3.27747012421373e-21,2.66491095799819e-17,37.3251687966933
"Hbb-bt",-0.793877417483091,1.89902526367584,-7.62988326158665,2.85352083748396e-14,1.54679852863881e-10,21.6773469323825
"Sox11",-0.628172933521165,0.912442707773112,-6.9358636490331,4.61538809089052e-12,1.71706698125798e-08,16.7206184017739
"Igfbpl1",-0.650543957381496,1.00302674460409,-6.91663451439339,5.27938439693143e-12,1.71706698125798e-08,16.5898567269493
"Pcp2",0.0578019416538242,0.00591714109911807,6.84810678881089,8.49917865036764e-12,2.30356072020464e-08,16.1267451987909
"Snhg11",0.314651021220353,0.150427218942603,6.71762616876449,2.07858279478525e-11,4.82884477268538e-08,15.2574406699047
"Pcp4",0.44339240501152,0.419875075636188,6.50641107212687,8.54236345116635e-11,1.73644893053584e-07,13.8850023418941
"Ptma",-0.550915948111998,3.11849684513517,-6.41781691625032,1.52600669252762e-10,2.75732453709824e-07,13.3221370981485
"Ptgds",-0.478906258869383,0.593201429115051,-6.23102879126298,5.06047145201026e-10,8.22933867525908e-07,12.1602469968591
"Cd24a",-0.631821356250659,1.49541919354983,-6.12328625298262,9.95278199253915e-10,1.47138309784247e-06,11.5053846837643
"Car8",0.116449626987182,0.0295373581883663,6.10336779658473,1.12648502145254e-09,1.52657495157177e-06,11.3855496361623
"Irx2",0.0399982170858895,0.00409458726538653,5.69387843778415,1.32135901625107e-08,1.53866139396292e-05,9.00712032904342
"Pax3",0.0442307687652046,0.00545023017489588,5.69345244006673,1.32463777613337e-08,1.53866139396292e-05,9.00473069672312
"Calb1",0.33102663534808,0.328394101733926,5.47806309484156,4.53606711166683e-08,4.91770155799506e-05,7.81908378456612
"Rasgrp2",0.166041956905633,0.077716380368857,5.43608384805713,5.7363549687217e-08,5.83028778133452e-05,7.59325320517046
"Tubb2a",0.566733821859556,2.10604454759513,5.42156287118051,6.21919377111106e-08,5.9492075944593e-05,7.51553553095156
"Hmgb2",-0.329503488603859,0.324547477609413,-5.41088458841376,6.59915800422721e-08,5.96197263693016e-05,7.45851522347949
"Fau",-0.532413043713266,2.48103687107825,-5.30304692446342,1.1938121474444e-07,0.000102177753377583,6.88889854231488
"Gm33533",0.029896728427815,0.00381922481210796,5.21011056646558,1.97221141329252e-07,0.000160360510014815,6.4070773434525
"Dynll2",0.415404036212764,0.675399598446877,5.07702740958915,3.98967717772548e-07,0.000308953001257961,5.7317740156854
"Rpl37",-0.518051517496538,2.307997542106,-5.05647653370204,4.4415679469786e-07,0.000328312627062573,5.62903202845011
"Ndrg4",0.251535899568159,0.220124285051926,5.02729320121215,5.16903055959941e-07,0.000356894024365357,5.48384084499599
"Vsnl1",0.210980415718754,0.149570321959918,5.0236639160561,5.26716061048369e-07,0.000356894024365357,5.46584272873662
"Rbm3",-0.421429784716904,0.735564148267583,-5.00572004990153,5.77933835724802e-07,0.000375934401462269,5.37704551175435
"Hmgcs1",0.486545394803471,1.13543782194704,4.99663151217131,6.05675608287137e-07,0.000378826797767901,5.33218973420808
"Nrsn2",0.121104360052001,0.047970729740878,4.98612496243911,6.3934676366788e-07,0.000385076187806188,5.28043591702731
"Serpine2",0.233301734653151,0.190673115696292,4.96587448864054,7.09406565404546e-07,0.000412013198807454,5.18098879079636
"Reep5",0.359277434856565,0.511214077636516,4.93264620229229,8.40674507313218e-07,0.000471415477169916,5.01867673941053
"Ntng1",0.136088310354236,0.0671263028068646,4.88606268732901,1.06470272193677e-06,0.000574128681065538,4.79294249606745
"Irx1",0.0394773468783035,0.00532728450272641,4.88060197964093,1.09445265730117e-06,0.000574128681065538,4.76661976922144
"Tcf4",-0.404554954366729,0.72346211553385,-4.73608253592319,2.2463664379981e-06,0.00114157534421016,4.08056688823237
"Rps11",-0.488741227084471,2.30789635202815,-4.72965839130667,2.31826060814676e-06,0.00114241072756614,4.05054441233002
"Aldoa",0.365789485125802,0.583463532348623,4.71705496796526,2.46578181169624e-06,0.00116830429769884,3.9917610255151
"Map2",0.454932182313434,1.10386847830312,4.70413694117834,2.62632144261094e-06,0.00116830429769884,3.93167145500152
"Fbxo3",0.174411666571829,0.11928480484201,4.70205573767771,2.65310677794186e-06,0.00116830429769884,3.92200577599698
"Tmem163",0.111593049260674,0.0491294007412149,4.70166412935176,2.65817605551943e-06,0.00116830429769884,3.92018751307547
"Prkcb",0.161350158335578,0.099676536988536,4.68145944802642,2.93271700793609e-06,0.00125118708730199,3.82657930383271
"Arhgdig",0.216114770596954,0.183466288168527,4.67674180076068,3.00063315734704e-06,0.00125118708730199,3.80477994466233
"Apoe",0.291074063256286,0.343386347112841,4.66800796332523,3.13037111041892e-06,0.00127265237494081,3.7644799687448
"Fxyd7",0.23094286122428,0.212108212054542,4.65826667395255,3.28142251144971e-06,0.00130152421661452,3.71961937142454
"Rab6b",0.336911073993259,0.505739114216251,4.60928998084362,4.15306983152615e-06,0.00160802908572091,3.4954781931074
"Resp18",0.178692399571431,0.137397366493652,4.43741185862834,9.32373847509818e-06,0.00352610779260573,2.72745260293539
"Ebf2",0.0509460306411572,0.0110382067204446,4.43062233365701,9.62087203180516e-06,0.00355578684048217,2.69770785722258
"Gm16083",0.0472807122947308,0.0103161802381444,4.4183117533781,1.01828511835908e-05,0.00367985613216786,2.64389063977993
"Grm1",0.0579973021422107,0.0158865186856086,4.40148462167359,1.10019344946901e-05,0.00388942301636195,2.57056886838165
"Uncx",0.0535724056989422,0.012425389792989,4.38884976906074,1.1657924453766e-05,0.00403364186100302,2.51569664999943
"Sox4",-0.379087609636618,0.777886018140609,-4.38318982481094,1.19637463093079e-05,0.0040532175517076,2.49116665209358
"Pcdh18",0.0866438003688744,0.0328189614036092,4.33035525388915,1.52128684509227e-05,0.00504880952548787,2.2636973999618
"Camk2n1",0.255279552442823,0.311244947713734,4.31439680017695,1.63494138655589e-05,0.00531748336563437,2.19552914986834
"Rps7",-0.400680845724791,2.8038473848709,-4.28496676222961,1.86609513082909e-05,0.00584329784009955,2.07047013908783
"Mab21l2",0.0457845518378848,0.00972355860439475,4.28468217186581,1.86847551153103e-05,0.00584329784009955,2.06926495459854
"Rplp0",-0.386172696044461,2.92907178849594,-4.27459696147335,1.95472334173677e-05,0.00594139821427791,2.02660731790005
"Pde1c",0.0810402905163252,0.0324090931863711,4.27252394942347,1.97291540752065e-05,0.00594139821427791,2.01785140596946
"Rpl38",-0.447341178832166,1.72773292782571,-4.2609719229846,2.0772825083316e-05,0.00610132503017797,1.96913552769404
"Sst",-0.398699600407567,1.95681647790225,-4.25841762719586,2.10105892073525e-05,0.00610132503017797,1.95838150594853
"Stmn3",0.439742064612345,1.93711937648621,4.19638033509899,2.76477987660678e-05,0.00788786848304903,1.69915826005362
"Tmem229a",0.0484273862091298,0.0110069937706368,4.17463914706573,3.04136639481468e-05,0.0081162325283129,1.6092056132396
"Mthfd1l",0.0456896475997611,0.00995194022986914,4.17404982644608,3.04921790725488e-05,0.0081162325283129,1.60677379364198
"Vim",-0.340204080723033,0.657237278093992,-4.16970931358219,3.10764296671098e-05,0.0081162325283129,1.58887324890647
"Ndfip1",0.399484017554828,1.09427162223005,4.16795489881774,3.13155877355636e-05,0.0081162325283129,1.58164317737704
"Gnao1",0.329778814309541,0.626775059507115,4.16673261519502,3.14832396969455e-05,0.0081162325283129,1.57660784150883
"H3f3b",-0.407415323568109,2.51286863777763,-4.1664856391971,3.15172190872867e-05,0.0081162325283129,1.57559057386242
"Spock2",0.179212485580023,0.159357184263081,4.16342018321696,3.19418817987963e-05,0.0081162325283129,1.56296926927766
"Cnpy1",0.0229971178683245,0.0034475031415959,4.13669303631527,3.58819705173721e-05,0.00897711699313086,1.4533169679444
"Dkkl1",0.0387652557617778,0.00719440589259231,4.13071969192787,3.68235954593603e-05,0.00907311074788057,1.42890619497064
"AW551984",0.163021122970559,0.131535900120846,4.12556850352443,3.76544181867998e-05,0.00913934550080206,1.40788336787102
"Luzp2",0.195479423388325,0.192732294994664,4.10663237270981,4.08641679474709e-05,0.00977254557590841,1.33082572514154
"Slc17a6",0.162383552600432,0.133061367022884,4.09526873135899,4.29132902216808e-05,0.0101138539939851,1.28475206567852
"5730409E04Rik",0.111806462063581,0.0613253010192367,4.09084907808303,4.37362898656958e-05,0.0101605649399421,1.26686689204043
"Grm8",0.0570913704241715,0.018147714990403,4.06627564159534,4.85922471484354e-05,0.0111296777905332,1.16777422739096
"Rps8",-0.360875324342427,3.01639696442088,-4.04776389183758,5.25834857784152e-05,0.0118765645240082,1.09351674864366
"Rps26",-0.355101095647654,3.04756830185669,-4.04405063511556,5.34206475467771e-05,0.0119003639781601,1.07866200041362
"Pgm2l1",0.207842702346198,0.231020305771692,4.02788352863719,5.721501803921e-05,0.0125733868020761,1.01414381576616
"Gpr149",0.0451405671974587,0.0101915578000349,4.02449955368023,5.80409067183437e-05,0.0125848163340494,1.00067183386238
"Nfix",-0.255815377255088,0.369514856379067,-4.02127416728388,5.88385933375434e-05,0.0125899105901991,0.987841673593023
"Sybu",0.207561451239481,0.23487879938339,4.01344295956443,6.08188089950036e-05,0.0126698183975888,0.956732663875289
"Cfap69",0.0693469254078918,0.0296535752397657,4.0096848492131,6.17913527065636e-05,0.0126698183975888,0.941825170338981
"Atp1b1",0.307245390997261,0.576505962857074,4.00657849676246,6.26063311155965e-05,0.0126698183975888,0.929513505574101
"Rpl36",-0.423906330719933,1.73558649002883,-4.00625549148659,6.26916561573287e-05,0.0126698183975888,0.928233855643953
"Hap1",0.163627909092499,0.1423632252403,4.00422408142475,6.32308025601265e-05,0.0126698183975888,0.920188366505762
"Kif26b",0.0857787119283378,0.0415885930667505,4.00177486605248,6.38866749847672e-05,0.0126698183975888,0.910493527721742
"Ephb3",0.0449098957304832,0.0113173247925139,3.98961048602008,6.72407231270063e-05,0.0131743209577274,0.862429978625269
"C230034O21Rik",0.0397243885253267,0.00846988902938535,3.9628531569887,7.52142312605383e-05,0.0145611170090342,0.757218444124112
"Tmx4",0.257979830836634,0.398013860025366,3.95261357734491,7.84958717091877e-05,0.0150176454792331,0.717141749852849
"Osbp2",0.0605017848412871,0.0214922384770771,3.94859828580121,7.9819305978258e-05,0.0150932738816097,0.701454401983302
"Gm26782",0.0713351206412962,0.0275108349707976,3.93985887036086,8.27731044714384e-05,0.0154075951717091,0.667365100535552
"Pgm2",0.106062337562269,0.0589853663007,3.93810997835126,8.33764835266511e-05,0.0154075951717091,0.660552311614445
"Tuba1b",0.35790228504828,0.895648428088524,3.91939250572885,9.00999173776906e-05,0.0164629759145619,0.587826720435999
"Ccdc85a",0.0867934355218116,0.0445135552241692,3.91432018048991,9.20083045774782e-05,0.016624878322655,0.568177769382651
"Sec24b",0.102355612310522,0.0647029158367406,3.90639215705881,9.50677778396863e-05,0.016903125557152,0.537517156028192
"Bri3",-0.242251823173098,0.345808863410691,-3.90496894731613,9.56270785424907e-05,0.016903125557152,0.532019611049212
"Cdh7",0.0733139696017127,0.0309013676962332,3.89521173033827,9.95460454325954e-05,0.0174066429120953,0.494383213395333
"Ptn",0.387646466994552,1.20710429933072,3.8891669862933,0.000102049474478139,0.017654559084718,0.471113807037975
"Dusp26",0.143944381660587,0.118835887851705,3.86536451583942,0.000112496962269535,0.0192571115834439,0.37983450093599
"Gm42418",-0.334718063593508,4.36972041767631,-3.85502640869925,0.00011734210147727,0.0195563292557247,0.340362608504218
"Tpi1",0.250680560361381,0.37789540276804,3.85456931443586,0.000117560806569173,0.0195563292557247,0.338619802410618
"Gm26945",0.0208078812222464,0.00335892806998211,3.85396054807363,0.000117852679071517,0.0195563292557247,0.336299020657433
"Klhdc8a",0.0490200492237379,0.0139348967555232,3.81468984948666,0.000138194010135835,0.0227001110386762,0.18735791206903
"Rps20",-0.381270797325208,2.47611173538534,-3.79076437602987,0.000152163236461931,0.0243503727304262,0.0973592023818153
"Hist1h2ae",-0.289476704796637,0.55083061247153,-3.78803625521732,0.000153837961767212,0.0243503727304262,0.0871327605257823
"Csmd3",0.094151542209424,0.0592701091422214,3.78755889156963,0.000154132781699739,0.0243503727304262,0.0853441006789453
"Nsf",0.156851429007613,0.146059082621916,3.7859023688455,0.00015515998208984,0.0243503727304262,0.0791389225661012
"Gabra1",0.0986603566751509,0.0603165209915844,3.78271251882237,0.000157156171624228,0.0243503727304262,0.0671976418515756
"En2",0.0190911976002965,0.00195435147539935,3.78260358714877,0.000157224765508224,0.0243503727304262,0.0667900300880762
"Nkx2-4",0.0191495105087201,0.00196032092378067,3.77994282311631,0.000158909017691988,0.0243790419406332,0.056837330627034
"Klhl13",0.153120035634299,0.140292381779043,3.77369033746427,0.000162933905094839,0.0247629080808624,0.0334770338742869
"Klhl1",0.0449010739541119,0.0132549785481655,3.75377272461335,0.000176404457948649,0.0264054070158852,-0.0406822113775087
"Rgs17",0.141398390883744,0.124335088120035,3.75152108740458,0.000177991515665271,0.0264054070158852,-0.0490411981249785
"Cda",0.0222650761337315,0.00312825625264839,3.75064535054115,0.000178612395261799,0.0264054070158852,-0.0522909409440366
"Snx16",0.161062834874849,0.158245981959899,3.74566841677236,0.000182179802902934,0.0265799233940575,-0.0707453619935814
"Fabp3",0.207642446259226,0.267370465089386,3.74445203277328,0.00018306182635189,0.0265799233940575,-0.0752519989388736
"Pgam1",0.294026414663639,0.598747880274522,3.7414299392278,0.000185270619293835,0.0266625735482862,-0.0864423960788248
"Grid2",0.0647078808470551,0.0304136073425555,3.733758266966,0.000190990789409781,0.0272446685735251,-0.114809218877098
"Dnajc6",0.11051340112217,0.0750491298738883,3.72732044735019,0.00019591868119518,0.0275738007006122,-0.138569090540208
"Eno2",0.095717476573972,0.0574591708672985,3.72575043900445,0.000197138457175622,0.0275738007006122,-0.144357294052392
"Zfp2",0.098805384094125,0.0609173104143683,3.72415555524662,0.000198384865451459,0.0275738007006122,-0.150234725308589
"Nap1l5",0.20558444296356,0.269380177006161,3.70493165791648,0.000214002855437877,0.0293810731745182,-0.220881473093951
"Olig1",0.11009779928321,0.0703101580271249,3.70374822952443,0.000215001088904665,0.0293810731745182,-0.22521863355683
"Kif5a",0.214167319903841,0.299072663514837,3.69986402164255,0.000218308278800027,0.029584410248717,-0.239444235007078
"Rps3a1",-0.373760323524591,2.37683198934457,-3.69022898008816,0.000226719413910166,0.0304703397438605,-0.274667765230062
"Tlx3",0.0166759234201165,0.00170710168225618,3.68287443760057,0.000233343496233765,0.0311035404569958,-0.301492874011476
"Smtnl2",0.0418295061685984,0.0106305395782634,3.67805164459166,0.000237785455655518,0.0311434328464695,-0.319054752293019
"Nthl1",-0.0460853834793513,0.0135324596134552,-3.6743635037822,0.000241235783018515,0.0311434328464695,-0.332469436512948
"Nsdhl",0.12843386367401,0.102336589321452,3.67339248671117,0.000242151970978034,0.0311434328464695,-0.335999042286391
"Olfm3",0.0853100318585574,0.0460892239322988,3.67030445605191,0.00024508738615281,0.0311434328464695,-0.347217739199148
"Fabp7",0.391233413540067,1.83208419001952,3.66884569558777,0.000246485634610005,0.0311434328464695,-0.352514098649358
"Hmgb1",-0.388709353670453,1.77127840761514,-3.66390938562306,0.00025127289705783,0.0311434328464695,-0.370420964711294
"Tmsb4x",-0.272593787992953,3.53194830241703,-3.66336451886836,0.000251806624845983,0.0311434328464695,-0.37239604466455
"Nkd1",0.0554721220302538,0.0183803052025588,3.66284561854569,0.000252315905656608,0.0311434328464695,-0.374276727829141
"Dnm1",0.148117141274711,0.139269023061553,3.66078977591151,0.000254343150161339,0.0311434328464695,-0.381725245085576
"Nwd2",0.0654815667377744,0.0267631210616116,3.66068776978437,0.000254444134122908,0.0311434328464695,-0.382094714940871
"AC164314.2",0.0140545337453248,0.00143875200164493,3.65956256320151,0.00025556056398849,0.0311434328464695,-0.386169574562899
"Klc4",0.0457222281628796,0.0124145017646264,3.65849501520784,0.000256624031572188,0.0311434328464695,-0.390034476406648
"Ckb",0.361612567319326,1.1988616486807,3.64956105817877,0.000265687982372748,0.0320045775507084,-0.422334626133822
"2810032G03Rik",0.0621502417169219,0.0255472532981032,3.64507624956424,0.000270350414993954,0.032289690322777,-0.438519570320548
"Ky",0.0210627324274355,0.00282340741901443,3.64348215336833,0.000272026046871261,0.032289690322777,-0.444267638556563
"Greb1l",0.0312516332351218,0.00702832832416909,3.63164015753206,0.000284782004319781,0.03355887648006,-0.486889825158769
"Cdkn1a",0.121312734513755,0.0919965747779761,3.62885245844606,0.000287865317462353,0.0336781711695884,-0.496903366514932
"Nefl",0.21241701513433,0.302589931989916,3.62462907182023,0.000292596219438582,0.0339871408607873,-0.512059399705934
"Selenom",0.17328231928717,0.198601072981498,3.62148081228767,0.000296170088866613,0.0340301883129438,-0.523345820778575
"Aqp4",0.0233387595298959,0.00321841587818786,3.62062202055752,0.00029715205635457,0.0340301883129438,-0.52642287227053
"Lingo2",0.107813028143317,0.0790023930251672,3.61549643125642,0.000303076526383214,0.0344659473569499,-0.544772776778452
"Sh3bgrl",-0.27839755393132,0.575943670197015,-3.59869815708832,0.000323277759143846,0.0365079369388696,-0.604730423467863
"Bicdl1",0.0486179090825595,0.016601346903698,3.59428831696778,0.000328786117831983,0.0368739299874738,-0.620424349867124
"Gm43598",0.0160534970533456,0.00222460902016775,3.59171551289667,0.000332040281636566,0.0369523173040233,-0.629571717476558
"Dtnb",0.0825420183454011,0.0479894368370867,3.5901542579012,0.000334029679233269,0.0369523173040233,-0.635119440755114
"Taf4b",0.0190872585940914,0.00251974740996398,3.58814008654329,0.000336612679233063,0.0369864553357302,-0.642273002908468
"Rpl13",-0.319567133352638,3.02129496523636,-3.5743758870153,0.000354770748716592,0.038720012856572,-0.69105131373732
"Rpl6",-0.375611060948487,1.73357026876274,-3.56864097005851,0.000362603524630633,0.0393110567836224,-0.711320009938193
"3110001I22Rik",0.0311117444584672,0.00613977373295586,3.56117692245803,0.000373040337670839,0.0401747150410807,-0.73765143956853
