"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Snhg11",1.21244993139854,0.867510195180194,7.18727185916164,1.02489696898698e-12,8.45378014770720e-09,18.3084341444651
"Ttr",-1.0484031478302,1.16084778600822,-7.18099859442284,1.07145502505795e-12,8.45378014770720e-09,18.2660991589948
"Tmsb4x",-0.742752136640433,3.2198727160389,-6.0594100015975,1.71318579962824e-09,7.12701624727882e-06,11.2574129878793
"Csmd1",0.557132570083486,0.392895341699781,6.03812446709001,1.94915410536061e-09,7.12701624727882e-06,11.1352864195906
"Nln",0.502400467741425,0.339149061858282,6.0137616463767,2.25824342435958e-09,7.12701624727882e-06,10.9960062734904
"Lrp1b",0.541784937760433,0.350055270236135,5.89022005264636,4.72413067227528e-09,1.2424463668084e-05,10.2979963943852
"Rps7",-0.830137899212902,2.5784827627134,-5.78951205709427,8.5342715495125e-09,1.9238686435901e-05,9.7392336265433
"Meg3",1.25282953511578,1.51068400111474,5.71308556211921,1.32863524801421e-08,2.62073302670803e-05,9.32134407009948
"Tfap2b",0.161519268468594,0.0344923397559009,5.65640980729033,1.83853181171412e-08,3.2235591098721e-05,9.01488252803742
"Tmsb10",-0.369083479078856,4.60399046055393,-5.53160515189361,3.72064211792318e-08,5.87117326208278e-05,8.35035863492696
"Adgrb3",0.422014037714751,0.30035310714427,5.49666465043624,4.52084362947909e-08,6.46846575301215e-05,8.16686712762511
"C130073E24Rik",0.475323044046352,0.298008638292252,5.48056899913255,4.94343475269751e-08,6.46846575301215e-05,8.08271586103664
"Sgcz",0.327745108884136,0.169142525664569,5.46701179652732,5.32890081046629e-08,6.46846575301215e-05,8.01202006747772
"Cep112",0.28239152792201,0.125613233334552,5.40600254445361,7.45551596874742e-08,8.40343157048816e-05,7.69596248581122
"Rsrp1",0.660898869125826,0.777710055474407,5.36070370147818,9.54564340667251e-08,0.000100415743192052,7.46349942868944
"Lrrc7",0.512001316785385,0.463473650320556,5.33873307241458,1.0753916846004e-07,0.000100415743192052,7.35142926010763
"Disp2",0.3254839221247,0.177730502793585,5.3376370824628,1.08179191018053e-07,0.000100415743192052,7.34585031790668
"Ptma",-0.741141916899198,2.80954945137293,-5.29374656744788,1.37073243708332e-07,0.000117809007765683,7.12334003579734
"Rpl34",-0.812938546857991,2.05976465247461,-5.28737009781207,1.4184861518048e-07,0.000117809007765683,7.09116068390414
"Dpp6",0.459329383416988,0.381163670176383,5.26178012816135,1.62685179103022e-07,0.000128358606312284,6.9623948369274
"Rpl29",-0.818288755424885,1.89306673395703,-5.24529095314147,1.77649515307476e-07,0.000133490921502475,6.87974214114179
"Malat1",1.09811125391208,3.11880979856776,5.11653084896417,3.50152542179853e-07,0.000251154868890822,6.24293462677934
"Usp29",0.362332701095981,0.258914372764737,5.06005877827642,4.6926599931349e-07,0.000321957281268125,5.96846253465611
"Hbb-bt",-0.775781296448365,1.7837186793315,-5.04776934390104,4.99946342731501e-07,0.000328714720345962,5.90912200712755
"Cacna2d2",0.205736271225599,0.0827577623233675,5.00332788521282,6.27887989719028e-07,0.00039632289911065,5.69569730204295
"Grm7",0.297365399205835,0.166115503589344,4.99268125327198,6.62936888129841e-07,0.000402351695949573,5.6448391562844
"Car10",0.398429224423489,0.313331013327897,4.96392977863762,7.67275566801754e-07,0.000448429942375248,5.50801927567244
"Nespas",0.224726785842252,0.111876308679961,4.89271514419442,1.09840196174832e-06,0.000619027962728158,5.17242339574628
"Nova1",0.303180014280229,0.17749480402596,4.87308728485704,1.21157052811282e-06,0.000659261480469668,5.08075357048095
"Cspp1",0.368300326629102,0.3094223305441,4.82884465955923,1.50931209499587e-06,0.00078299566153856,4.87543269459149
"Rplp0",-0.663319167781206,2.73193042749752,-4.82500973227193,1.53820440479692e-06,0.00078299566153856,4.8577210737126
"Rps26",-0.653382445398687,2.8387937617684,-4.78804292094098,1.84541409505204e-06,0.000910019825622536,4.68768946577712
