"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ttr",-1.19270269470521,1.08453055211056,-7.45408109810453,1.7665746814649e-13,2.68166036646372e-09,19.6661120525037
"Aqp4",0.774188717227142,0.431704715547208,6.76642879067476,2.09094350196459e-11,1.58702611799112e-07,15.2249145526137
"Pla2g7",0.531597606343884,0.205835700329915,6.49477342089471,1.23143811237337e-10,6.23107684860923e-07,13.5792110503057
"Luzp2",0.8241806397152,0.511545909994686,6.38089735423797,2.54031403896802e-10,9.64049177788363e-07,12.9079108560684
"Ptn",0.992607317811361,1.56483192421175,5.53540292376741,3.83833977411311e-08,0.000116531995542074,8.27160216526679
"Sparcl1",0.706159153315259,0.501745179393723,5.47698381463785,5.30281041853705e-08,0.000134161103588987,7.97415563659056
"Pax3",0.188892837797045,0.0414617074636065,5.28913334276313,1.46837297667098e-07,0.000318427168369506,7.0379818178859
"Ednrb",0.548300337029194,0.354919609984196,5.21042148398816,2.22885496062518e-07,0.000422925228778628,6.65494162375001
"Apoe",0.761162674220856,0.70066048092782,5.06048429052712,4.85985917901317e-07,0.000819696248193555,5.94043315536672
"Grid2",0.25106347731657,0.0954834711629163,4.78900433987476,1.89297601880911e-06,0.00283219740870082,4.69748284779783
"Magee1",0.325099692483731,0.135610715970986,4.76594491399053,2.11820599559872e-06,0.00283219740870082,4.59493226022646
"Igfbpl1",-0.770304174404457,1.01326640516962,-4.75454242195695,2.23889123217456e-06,0.00283219740870082,4.54439824416852
"Rps27a",-0.81493323200477,1.93730564617075,-4.73186482742434,2.49885771670841e-06,0.00291789693381798,4.44424011791925
"Sox11",-0.681003553097095,0.909890783042979,-4.46575335396552,8.75844323118217e-06,0.00917761651543988,3.30335554079682
"Hbb-bt",-0.766530252478301,1.710533470449,-4.45816483575966,9.06879102316193e-06,0.00917761651543988,3.27175443715649
"Pacsin1",0.234122424801911,0.084560550573936,4.43265668451088,1.01909696453184e-05,0.00966868245099583,3.16591009845513
"Slc7a10",0.21384973267345,0.0784999120131038,4.41790614749605,1.08992533187592e-05,0.00973239208110377,3.10497118165476
"Dgkb",0.301919245393685,0.161967892749544,4.37643008115353,1.31519054203349e-05,0.0110914402378158,2.93467196744544
"Tmsb4x",-0.600440418251464,3.25994986190651,-4.32110412534192,1.68565021431121e-05,0.0134674580280233,2.70992123873842
"Serpine2",0.469275416835881,0.375335485446674,4.28282791201753,1.99812980314244e-05,0.0151658052058511,2.5560493897904
"Atp1b2",0.286068218957186,0.142403668106651,4.25360451913026,2.27311709230569e-05,0.0162697549303142,2.43946173543873
"Ptprz1",0.8515156121101,1.33925578782093,4.24526928513483,2.35793549714699e-05,0.0162697549303142,2.40634962609337
"Sox4",-0.596033023613177,0.736894601558964,-4.15409229978331,3.50568746237157e-05,0.0231375372516523,2.04825188834624
"Me1",0.249019305994762,0.10774265392592,4.07151000925568,4.98813411914691e-05,0.0308890170744284,1.73041426458473
"Slc1a2",0.399615677647628,0.321916100689196,4.05987194537474,5.23969587454193e-05,0.0308890170744284,1.68612014216253
"Igsf11",0.259168801220996,0.149047822637766,4.05106943710646,5.43791251210604e-05,0.0308890170744284,1.65269979421405
"Nefl",0.427092636678378,0.353741590179469,4.04862985621716,5.49409394604458e-05,0.0308890170744284,1.64344993562387
"Dpp6",0.346261742585032,0.240409053557312,4.00738225311473,6.53149750892025e-05,0.0350878820349212,1.48787550577637
"Scg2",0.331910817001261,0.199570119340105,3.99827660432446,6.78429018642347e-05,0.0350878820349212,1.45374001793645
"Smpdl3a",0.189863180025607,0.0817907645348334,3.99302182598567,6.93436403852197e-05,0.0350878820349212,1.43407509626189
"Rpl38",-0.703359128159682,1.57926978532869,-3.95866103739282,7.99598020455786e-05,0.0391545095178027,1.30610634786611
"Slc1a3",0.60074143336072,0.717939719111199,3.94575742992638,8.43302322132775e-05,0.0400041539061735,1.25832748982196
"Cpe",0.595530838485554,0.861260102854252,3.90227781989157,0.000100779886955685,0.0452082565374146,1.09844994400446
"Gng12",0.264904724264231,0.145462647381971,3.90111975290929,0.000101256964576555,0.0452082565374146,1.09421520723579
"Tpp1",0.147877949291069,0.0493031862218082,3.87159524187891,0.000114165782664073,0.0495153308811609,0.986665097151443
