"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rpl8",-1.36680215437953,0.645378656011571,-20.0692540598253,2.04404487613639e-83,3.4844833003497e-79,178.327844122159
"AC149090.1",-1.49582677216404,1.8120238708382,-17.8512634641689,2.48984801960168e-67,2.1222219595075e-63,141.818686578052
"Oaz1",-1.11946719328083,0.568638804443943,-17.4191514143532,2.30016582061726e-64,1.30703089146875e-60,135.089292280579
"Hnrnpa2b1",-1.36894511074249,1.06720292456753,-17.1707675684346,1.09800232740728e-62,4.67941141882798e-59,131.28001883312
"Calm1",-1.27161783366312,1.28051867811593,-15.595821968763,1.71584086077065e-52,5.84998783071146e-49,108.156220800647
"Atp5g3",-0.900315854086935,0.450916912592929,-15.4172215318453,2.18796896837127e-51,6.21638450063752e-48,105.649124585583
"Rpl27a",-0.847658712305816,0.362805974241565,-15.4040671286479,2.63666072720993e-51,6.42102220239252e-48,105.465417704691
"Actg1",-1.22224098783087,1.10029300590884,-15.0883335032703,2.23033539524067e-49,4.75256593533346e-46,101.095301160662
"Pdlim7",-1.11953348728234,0.858498367739559,-14.8950551740115,3.24956524501308e-48,6.15503763685978e-45,98.4575081296242
"Cst3",-0.794975644517402,0.365483993766226,-14.5432057766581,3.95916880468886e-46,6.7491950613531e-43,93.7292321987909
"Slc25a4",-0.926889920015512,0.573991175004231,-14.0580207203924,2.54003912755529e-43,3.93636790976682e-40,87.3668693289924
"Ctxn1",-0.834373972131016,0.479823235018033,-13.7398277342421,1.59196989811418e-41,2.26152590442937e-38,83.2948580384572
"Tmem59",-0.732195145990509,0.342766757591573,-13.5411914118171,2.02286000621605e-40,2.65259188661269e-37,80.793659579429
"Pea15a",-0.891527925897836,0.582119864849736,-13.4985241357982,3.47787927432661e-40,4.23481485638898e-37,80.2605165568952
"Malat1",0.472921057434027,6.62740665008225,13.436124462068,7.66225593749256e-40,8.70789846442904e-37,79.4834398824431
"Ly6h",-0.873472344685001,0.547065656440811,-13.202426388453,1.435318536451e-38,1.52924219318002e-35,76.6010000279828
"Hint1",-0.662206603877361,0.295106306444276,-13.119500334695,4.01685094022365e-38,4.02795635164662e-35,75.5887967186725
"Ptma",-0.597870670569928,0.228787560757297,-13.1015869637291,5.01316159449359e-38,4.7477425389629e-35,75.3708767772839
"Map1b",-1.09514596347047,2.00522987360229,-13.0342684000381,1.15003841490899e-37,1.03182657152387e-34,74.5542624281626
"Chd3os",-0.647372891234254,0.311041364084734,-12.9731825148559,2.43519795191656e-37,2.07564097431608e-34,73.816444337166
"Uchl1",-1.01702587623228,1.07222380481981,-12.7659778239261,3.03269221047149e-36,2.46182400532893e-33,71.3364339644765
"Syt1",-0.879751579353154,2.96394689002094,-12.6501470739176,1.22300098718111e-35,9.47658992203475e-33,69.9653951132005
"Plk2",-0.949959164220566,0.786648381599376,-12.6222516321745,1.70825873809688e-35,1.26611681340598e-32,69.6368566528514
"Pgrmc1",-0.773165869204758,0.464696998106411,-12.6135119296182,1.89655177871486e-35,1.34710492382301e-32,69.5340566338851
"Arnt",-0.792957102430896,0.523549804798193,-12.3638205265973,3.66209199057145e-34,2.49710728653086e-31,66.62371721022
"Tmem59l",-0.825135951368567,0.599047490274392,-12.3488724644311,4.36504696481023e-34,2.86195983112e-31,66.451123502754
"Actb",-1.0115751011858,1.20675629027323,-12.1612710231423,3.89203708226684e-33,2.45731689412603e-30,64.3008277580916
"Snhg20",-0.586639822976955,0.294445127512668,-11.818845506272,1.95650744586226e-31,1.1911636582005e-28,60.4517490505709
"Ube2b",-0.891262668494622,0.860745265703209,-11.792969798727,2.61997996035507e-31,1.54009649600596e-28,60.1648912869091
"Ndufb5",-0.584562753209841,0.280941462639454,-11.7794510769978,3.05109151556564e-31,1.73373190219492e-28,60.0152473024523
"Vdac2",-0.577088509474235,0.291308709481396,-11.6344900511255,1.54750940041544e-30,8.50980411254256e-28,58.4203131759028
"Srek1",-0.934917945865796,1.16789446957677,-11.5765266205045,2.94737388740327e-30,1.57012133308011e-27,57.7875441744525
"Tmeff2",-0.744402320110541,0.499815115597312,-11.5595993456914,3.55559931336108e-30,1.83673640893534e-27,57.6032914209211
"Prkcg",-0.95638933523663,1.08656619366896,-11.5011211259063,6.78541504866562e-30,3.40208736278244e-27,56.9686287115107
"Mecr",-0.548268024236721,0.27091226186291,-11.4624479241072,1.03870382939611e-29,5.05908119420444e-27,56.5505047639272
"Gprasp2",-0.889841621079109,0.929477670246576,-11.3438707521123,3.8019930964664e-29,1.80034934209619e-26,55.2764139243266
"Syngr3",-0.596893191815336,0.331733933137616,-11.30550568062,5.7705579608222e-29,2.65866760967935e-26,54.8667539295841
"Dgkg",-0.722907910230143,0.499737097090441,-11.1155164375583,4.47200741489275e-28,2.00616606320202e-25,52.8566044415929
"Cpne7",-0.903766628534961,0.719488762590494,-11.0100872868049,1.37458953964101e-27,6.00836612365648e-25,51.7544801438835
"AC124490.1",-0.593482381903942,0.302798286508735,-10.9291585049003,3.23364270841237e-27,1.37809768125764e-24,50.9149610748262
"Mblac2",-0.669430975755891,0.465307104026208,-10.8045967647221,1.19320000572192e-26,4.96109280427843e-24,49.6338495521274
"Erp29",-0.489086572357711,0.242016732930825,-10.7815469816205,1.51704772952736e-26,6.15740777267926e-24,49.3982534661512
"Timm23",-0.398914406597449,0.158436956750102,-10.7315613810373,2.54956334681336e-26,1.01075363658436e-23,48.8889211018533
"Snrnp70",-0.87785376608211,1.49470597488016,-10.7018057360167,3.46924874929115e-26,1.34409735066287e-23,48.5867510963882
"Usp11",-0.685552722716337,0.49230357007632,-10.6460586125736,6.16528914059557e-26,2.33554853288295e-23,48.0227029326613
"Mtif2",-0.553743001414855,0.335590448160714,-10.5435134203148,1.76293516338497e-25,6.53320776743992e-23,46.9922012964545
"Rbm39",-0.866873605531467,1.65036613029494,-10.5097750005787,2.48592676869391e-25,9.01650928211173e-23,46.6551553685814
"Sncb",-0.740553969118445,0.684787207406783,-10.5000054217725,2.74553189346981e-25,9.75064212249582e-23,46.557742608747
"Nkain3",-0.564734966509674,0.320049421503117,-10.4876546918529,3.11250548763448e-25,1.08283430709602e-22,46.4347121250831
"Atp6v0c",-0.940212057466056,1.43174198183049,-10.4825210814989,3.27898454697962e-25,1.11793699144723e-22,46.3836133193408
"Olfm1",-0.848728981425157,1.1073101988396,-10.122447962204,1.19667183342433e-23,3.99993426360481e-21,42.8569957009264
"Grcc10",-0.554889542723518,0.342700285859434,-10.0636583326869,2.12985459239881e-23,6.98223677627355e-21,42.2919978446141
"Klhl7",-0.619034887965704,0.467950377368325,-9.99633409656581,4.10627785300528e-23,1.32074940679587e-20,41.6487153354489
"Mettl26",-0.412430479853682,0.192442776344969,-9.95514237967592,6.12388768623439e-23,1.93322061828218e-20,41.2570988727761
"Camk2d",-0.73825454003737,0.635193436667729,-9.84238025505365,1.81496880157193e-22,5.62541330189031e-20,40.1927148401082
"Rps16",-0.750258746792105,0.835631578040886,-9.73375606382195,5.11417953842606e-22,1.55681104627766e-19,39.1780274093083
"Dnajc24",-0.420834362188947,0.197774532790073,-9.72772199160418,5.41545750674009e-22,1.61960182662102e-19,39.1219681126224
"Ywhaq",-0.489108881625222,0.298477880315465,-9.68452482143608,8.15059409308427e-22,2.39557202594496e-19,38.7215900781747
"Rps7",-0.720475958129497,0.749410650421852,-9.67154213814907,9.21322469829164e-22,2.66199731240301e-19,38.6015822855878
"Trim35",-0.541666759478169,0.378261699943241,-9.65768623254396,1.04988596062354e-21,2.9829009951249e-19,38.4736678458857
"Ccdc30",-0.47716568376066,0.290331981167511,-9.58993353814957,1.9837017038234e-21,5.54363326968484e-19,37.8506481584681
"Mdh2",-0.513126920641979,0.353998221498853,-9.52481883879895,3.64234072602378e-21,1.00146745736335e-18,37.2557350481517
"1700020I14Rik",-0.688700162405458,0.70775333972603,-9.48857558520224,5.09989342200135e-21,1.37996639944217e-18,36.926238954629
"Hap1",-0.688955743802993,0.622811186939608,-9.45758073851678,6.79469361849527e-21,1.80983034553889e-18,36.6453865768707
"Dync1i1",-0.615483659248385,0.539947581616982,-9.4523305413796,7.13247798641152e-21,1.87057464975934e-18,36.5978980629252
"1500011B03Rik",-0.361348989965581,0.169098123527242,-9.34318166677859,1.94476396243954e-20,5.0230895860162e-18,35.6162125968786
"Mid1",-0.391346033102316,0.192247711941113,-9.26792420860235,3.85954493563511e-20,9.81994962951816e-18,34.9455526414098
"Ttc3",-0.737517828076681,2.099540266111,-9.26539193350671,3.94924302794576e-20,9.90040380843991e-18,34.9230743733518
"Atp5f1",-0.536882165635234,0.399524852139495,-9.20492740184628,6.82366628867318e-20,1.68584114815959e-17,34.3880556641517
"Sf3b5",-0.323848732458486,0.13866142822067,-9.18757603455754,7.97831356298364e-20,1.9429473044026e-17,34.2351281214652
"Tm2d2",-0.414359089166429,0.219917270822115,-9.16360452657041,9.89726615360107e-20,2.37631966366813e-17,34.0242980573895
"mt-Co1",-0.52656005107179,0.371806795202925,-9.1584252752043,1.03683545541037e-19,2.45485194560841e-17,33.978814183134
"Gm46218",-0.286485436801442,0.115083998774569,-9.14947555346735,1.12352145866023e-19,2.62365346654533e-17,33.9002750499606
"Hbs1l",-0.485364578683986,0.326530139561628,-9.12462189884912,1.40364424864985e-19,3.23350317658568e-17,33.6825468288237
"Ndufs3",-0.416014506853357,0.243425078791265,-9.11138557658848,1.57995758428671e-19,3.59113825857807e-17,33.5668177562385
"Pfdn2",-0.387986068590199,0.198597151638773,-9.09859758604309,1.7710399182662e-19,3.97248914298473e-17,33.4551581746265
"Dnajc30",-0.282703158486417,0.108797155188551,-9.01607013928916,3.68704270342567e-19,8.16272947601264e-17,32.7381003081683
"Auts2",-0.696294323821911,0.796164885469586,-8.96653740401531,5.70865682260879e-19,1.24763426737195e-16,32.3106697967317
"Cadm1",-0.621785913329732,0.585273672791851,-8.95507033475933,6.31465761776472e-19,1.36260719506374e-16,32.2120328471512
"Blcap",-0.457162287359577,0.293354901741522,-8.94973246783984,6.61802430990061e-19,1.41021825513595e-16,32.166158261896
"Grm7",-0.670707829809884,0.775250969193992,-8.93100202933028,7.8009597761181e-19,1.64176495436401e-16,32.005388860422
"Kmt2e",-0.674779506082767,0.830799772612236,-8.91913630341365,8.65608258433169e-19,1.79951511969637e-16,31.9037053016929
"Rps8",-0.740684492464795,1.12879632932891,-8.91592531427171,8.9029985643834e-19,1.82854718707282e-16,31.8762105176846
"Cltc",-0.688173842253883,0.918062366816568,-8.81658347575232,2.11567223389921e-18,4.29355530610474e-16,31.0301758694719
"2310035C23Rik",-0.574046946150525,0.5368013533755,-8.76435272427888,3.32307467440244e-18,6.66452399700451e-16,30.5889372645718
"Dock4",-0.661777854972816,0.748554954110291,-8.68892679076366,6.35075922248248e-18,1.25885340076347e-15,29.9561087065419
"Rps3a1",-0.665760545769183,0.79871736304941,-8.67156769234724,7.3662533159292e-18,1.4433623020304e-15,29.8111947618719
"Eef1a1",-0.743994084912541,1.31544080971727,-8.63671221881999,9.91380914357929e-18,1.92046255080223e-15,29.5210464918364
"Trmt112",-0.381763628585009,0.218488721189986,-8.55431044543346,1.99202685968729e-17,3.81551481765048e-15,28.8394944795989
"Dlg2",0.690189042731018,2.04872800237419,8.51096462463851,2.86839180196308e-17,5.4330527831183e-15,28.4834550131859
"Tor1aip2",-0.52564392224894,0.456276453039812,-8.50605319949734,2.98905115181021e-17,5.59937966867129e-15,28.4432207405154
"Snhg10",-0.191517651373311,0.0590781486680997,-8.4989297309967,3.17300646911795e-17,5.87937405207105e-15,28.3849044782303
"Gm13306",0.373904226967983,0.203905549638832,8.49080151320064,3.39658577443224e-17,6.22597824696199e-15,28.318419261627
"Zbtb20",-0.701240420425728,0.573712386741611,-8.47576994877949,3.85177570088504e-17,6.98523620989227e-15,28.1956262117376
"Rpl32",-0.572304626060245,0.580029854344539,-8.46196177116947,4.32270534228347e-17,7.75675347051645e-15,28.0830083549556
"H3f3b",-0.622965207117951,0.727023406965225,-8.45046166595114,4.7579453999651e-17,8.39634296557947e-15,27.9893474250033
"Ndufb9",-0.395740367555949,0.245893891741541,-8.44996602505689,4.77764573039954e-17,8.39634296557947e-15,27.9853134584843
"Timm13",-0.351036690724869,0.195066785503659,-8.3988458525244,7.30762601578579e-17,1.26133321268909e-14,27.5704545113785
"Ahsa1",-0.411158866341832,0.265540331875521,-8.39855677256472,7.32515915153516e-17,1.26133321268909e-14,27.5681152965551
"Nnat",-0.790191470513918,0.693887146114854,-8.38287220195604,8.34133447764631e-17,1.42194728840437e-14,27.4413111144277
"Uchl5",-0.259185586786868,0.100343431550032,-8.38112480526036,8.4628185508904e-17,1.42837294888147e-14,27.4271979269312
"Cpe",-0.656705003329372,0.845765283231887,-8.35758362462786,1.02800621760375e-16,1.71808058740109e-14,27.2373346458776
"Phf6",-0.365808657066281,0.215086750697387,-8.35117228979738,1.08384147618716e-16,1.79381025675364e-14,27.1857138690002
"Mrpl4",-0.455961212889461,0.353286528794065,-8.33124678749591,1.27717274173888e-16,2.09345805080988e-14,27.0255235099415
"Smdt1",-0.2232910462054,0.0771329290720585,-8.32493107831228,1.34527625253899e-16,2.18408802638401e-14,26.9748242647614
"Prrc2c",-0.685503514116676,1.2258935655625,-8.28471289523924,1.87117545323441e-16,3.00923848597047e-14,26.6528283804752
"Tenm3",-0.448996047133441,0.315668190511833,-8.27654540999045,2.00049879194991e-16,3.18714980433366e-14,26.5876182233442
"Ppp4r3b",-0.399150795616373,0.267750152421286,-8.16564560776892,4.92738974670926e-16,7.77751972334748e-14,25.7082211181616
"Tspan13",-0.459364428403819,0.369744316761016,-8.12233566768091,6.98521055052797e-16,1.0924484794023e-13,25.3678463574366
"Stx18",-0.32771022478392,0.176556911472491,-8.11763109281697,7.25434721759317e-16,1.12422597289373e-13,25.3309764258411
"Nap1l5",-0.514633938869655,0.467927906667136,-8.11439717331201,7.44525437090245e-16,1.14341667802499e-13,25.3056438465181
"Atp1b1",-0.697086102266347,1.40927959320951,-8.11303983639405,7.52684959269583e-16,1.14562683041684e-13,25.2950141433055
"Rrp1",-0.491810225553908,0.444942610167494,-8.1065908452553,7.92672959124974e-16,1.19581379948703e-13,25.2445332881025
"Nrd1",-0.523499976213288,0.539461357166335,-8.10360970027242,8.11858919983119e-16,1.2140139481537e-13,25.2212106309255
"Tiprl",-0.349878041403601,0.213641576109671,-8.08189688959268,9.66102594762805e-16,1.42654125940466e-13,25.0515887889853
"Rpl9-ps6",-0.636915759578471,0.918480490647297,-8.08130084220284,9.70720866374966e-16,1.42654125940466e-13,25.0469385291952
"Mif",-0.446135590356687,0.350496613439445,-8.0789691723206,9.88997024915766e-16,1.4409771182683e-13,25.0287503716085
"Selenof",-0.319902628210568,0.17395194784756,-8.02760372527072,1.48970458428666e-15,2.15211813968939e-13,24.6293408356771
"Stmn3",-0.694540703544108,1.1998839699276,-8.02285977996547,1.54695640296972e-15,2.21604754633823e-13,24.5925748834304
"Rtn1",-0.690468536938465,1.34292301012155,-8.01695742783884,1.62122311006349e-15,2.30308252977103e-13,24.5468600484096
"Lrp1b",-0.747718148619437,1.56116658125037,-7.9874676168013,2.04825200298416e-15,2.8856654458571e-13,24.3189353770864
"Rapgef6",-0.578118174220018,0.698776610296324,-7.97148229202014,2.32423688382447e-15,3.24764476709473e-13,24.195720002359
"Ndufs7",-0.424416489134467,0.32011901264437,-7.96412730872176,2.46322941563574e-15,3.41387576002784e-13,24.1391064831693
"Cck",-0.466871263226258,0.403851110653895,-7.92594381162088,3.3274577135855e-15,4.57444932608806e-13,23.845996281275
"Ak5",-0.418577394111154,0.308015984505394,-7.91912168058461,3.51064408574963e-15,4.78751282447674e-13,23.7937684064992
"Mtf2",-0.534284489305301,0.600077236896654,-7.9181112092528,3.53860864600264e-15,4.78751282447674e-13,23.7860362296402
"Cpne9",0.295321742833191,0.13228396977744,7.90560476001613,3.90342843758059e-15,5.22574921249253e-13,23.6904140584949
"Cerkl",-0.244074246456527,0.0948968407411637,-7.90493969744338,3.92383351439575e-15,5.22574921249253e-13,23.6853331356948
"Fau",-0.615768257747081,0.908267177479941,-7.88922733886819,4.43767556949708e-15,5.86426786304006e-13,23.5654128434805
"Mir124a-1hg",0.601138435327502,2.46654671050836,7.87263204843284,5.05239320871148e-15,6.6252420791465e-13,23.4390006797407
"Gspt2",-0.297017415136355,0.151965053405135,-7.86873200083121,5.20861239390301e-15,6.777955380066e-13,23.4093294575931
"Emc3",-0.382247468449326,0.264678379236723,-7.85913392805628,5.61361887921659e-15,7.24964856318222e-13,23.3363678329804
"Fam212b",0.60265003982668,0.783412112316189,7.84724866857923,6.15832509157297e-15,7.89330585233417e-13,23.2461373429718
"Ankrd10",-0.535034921794175,0.603067835196405,-7.84518368314088,6.25813292624449e-15,7.96137253684252e-13,23.2304736635934
"Sgcz",0.470552260588308,0.393927850004257,7.84325450150867,6.35281545739729e-15,8.02195889646308e-13,23.2158436570878
"Hspa5",-0.61349631797508,0.841268493538346,-7.83137673187773,6.9676370803979e-15,8.73362568452523e-13,23.1258438134543
"Bmyc",-0.24286594961002,0.106299780578897,-7.82025975312213,7.59598694846154e-15,9.45173646061489e-13,23.0417264343863
"Gm28928",0.662336273903951,0.860569562886104,7.79842338829604,8.99698905777399e-15,1.11138893092662e-12,22.8768318451265
"Tax1bp1",-0.450180919742546,0.391032187035642,-7.79451383027824,9.27339648924661e-15,1.13729201404451e-12,22.8473557211974
"Fam171b",-0.534629013805473,0.60053727290881,-7.78795165946266,9.75625861153451e-15,1.18796386107735e-12,22.7979119101462
"4732440D04Rik",-0.352942290354063,0.228039563546414,-7.78475152484394,1.00006304316007e-14,1.20908331182622e-12,22.7738143527784
"Pdcd6",-0.277675856882464,0.137089744754144,-7.77222413098452,1.10165948413565e-14,1.32253445253947e-12,22.6795718427936
"Ntng1",-0.526904089942974,0.463308133944788,-7.76777672292902,1.14011865451952e-14,1.3591330561954e-12,22.6461492053231
"Syt5",-0.506535796098673,0.506661449771042,-7.75392423301427,1.26857864240796e-14,1.50176806368948e-12,22.5421635871586
"G3bp2",-0.550170577954191,0.650560795365125,-7.73723327687586,1.44239469305565e-14,1.69575878155308e-12,22.4171059409651
"C130073E24Rik",-0.394009192552231,0.209386822747849,-7.73407596682338,1.47781687328652e-14,1.72550303006269e-12,22.3934786022091
"H2afz",-0.436505669840233,0.360730807865948,-7.73277549732923,1.49265473592392e-14,1.73097178797925e-12,22.383749376507
"Adprh",-0.334101116698504,0.203605792806221,-7.71722575054966,1.68184349751854e-14,1.93718825014855e-12,22.2675377709514
"Srrt",-0.50038375761622,0.521375761142413,-7.70489784017243,1.84843898332606e-14,2.11478787575567e-12,22.1755634065965
"Arpc5",-0.325504830078499,0.195216514843529,-7.70257334451409,1.88162375832736e-14,2.1384026805471e-12,22.1582368651517
"BC031181",-0.401119160162079,0.306102276460659,-7.70155447855441,1.89635341177077e-14,2.1408699742024e-12,22.150643921232
"Tiam1",-0.457491543335258,0.376910148301379,-7.69882394594251,1.9363904553344e-14,2.17168737447931e-12,22.1302997712795
"Negr1",-0.612512690710176,0.867799620088775,-7.66562899834449,2.49495684457725e-14,2.77983851826852e-12,21.8835280406558
"Nt5c",-0.220675615910505,0.0925623542103249,-7.65604208965831,2.68392357611034e-14,2.97096397415279e-12,21.8124484001293
"Mrpl2",-0.204308318839649,0.0801366179786603,-7.64052791322388,3.01997251957202e-14,3.32138526071898e-12,21.6976026383356
"5330434G04Rik",-0.670538004359864,1.46813137776,-7.63667858887267,3.10956638400735e-14,3.39799859924188e-12,21.6691419715091
"Rps10",-0.522635824497204,0.582565518560583,-7.61688463604262,3.61323298929287e-14,3.92323457124048e-12,21.5230083280888
"Pebp1",-0.386651502963421,0.306569944585809,-7.61337563490401,3.71054222998973e-14,4.00339325282499e-12,21.4971401091964
"March1",-0.559453241729307,0.640006474318624,-7.56288234748352,5.43212358326258e-14,5.82398809584133e-12,21.1261676400314
"Cttnbp2",-0.637044568581692,1.20239811709475,-7.55694873710262,5.68008616895152e-14,6.05177680763229e-12,21.0827286282585
"Psmb5",-0.370031720637919,0.259768497405103,-7.53499690524914,6.69807311984114e-14,7.09205294869142e-12,20.9223063354762
"Ccnh",-0.349483465598472,0.231925508057563,-7.51193958303223,7.96054703617976e-14,8.36910464000639e-12,20.7542860730274
"Rundc3a",-0.42119226516998,0.363808888638112,-7.5112388652953,8.00237024884754e-14,8.36910464000639e-12,20.7491876114932
"Lhfpl3",-0.340480870752378,0.186418327565925,-7.49778788761524,8.84841452604805e-14,9.19749526985006e-12,20.6514057884582
"2900097C17Rik",-0.602821530054265,0.929770576164478,-7.49520876151146,9.02040732651456e-14,9.31944749667234e-12,20.6326760105988
"Robo3",0.26979894692274,0.124374477403736,7.49439062252244,9.07564989373855e-14,9.32003636979283e-12,20.6267359219519
"Ddx50",-0.515732385341917,0.640311984272605,-7.48723963016495,9.57288126440498e-14,9.77179083319232e-12,20.5748426497654
"Oxct1",-0.42760338795364,0.376133725598105,-7.48584805730951,9.67270980214885e-14,9.81492166650187e-12,20.5647498060083
"Romo1",-0.159839062203695,0.0486076512589687,-7.480848898048,1.00398566662764e-13,1.01271855970423e-11,20.5285065614738
"Kalrn",0.63265062087992,2.10145939649152,7.46218467631627,1.1535710025821e-13,1.15676028711865e-11,20.3933982720894
"Ankrd12",-0.547923344691066,0.758261443028345,-7.44073373288558,1.35267908085551e-13,1.34848656674526e-11,20.2385164363621
"Eif3h",-0.385116410991234,0.294243782712524,-7.41094041495588,1.68629126672676e-13,1.66193210876746e-11,20.0241089262504
"Zfp612",-0.367767120168349,0.283678641440416,-7.41091583773857,1.6865973767629e-13,1.66193210876746e-11,20.0239323966278
"Bex1",-0.253803790537277,0.117364028006313,-7.40972884566685,1.70144661205188e-13,1.6669287583706e-11,20.0154073123143
"Ccng1",-0.298286804162928,0.169180046596395,-7.3913806549021,1.94801654240652e-13,1.89759074276594e-11,19.8837954078935
"Saysd1",-0.179024514123547,0.0618968129360009,-7.38908352142363,1.98126010990425e-13,1.91900801667828e-11,19.8673400551209
"Pam16",-0.301603062479899,0.173805104135161,-7.37642645728678,2.17467983538297e-13,2.09445012168211e-11,19.7767600024823
"Atxn10",-0.425984788094779,0.400524901581743,-7.37467106257102,2.20293031298325e-13,2.10973893513626e-11,19.7642093057502
"Praf2",-0.244433781801133,0.121072115773244,-7.36501225222314,2.36494892791471e-13,2.25225052369621e-11,19.695202105527
"Ndufa6",-0.231746861505947,0.109259600362024,-7.36240212434221,2.41070572969644e-13,2.28307225411862e-11,19.6765689741416
"Rab3c",-0.625407394159012,1.05517025514922,-7.31164552533264,3.49493938367494e-13,3.29161500958601e-11,19.3154879111112
"St6galnac5",-0.551654820270439,0.700767663299347,-7.30357544361034,3.70672000350037e-13,3.47189318130059e-11,19.2582983339552
"Rps24",-0.541390319583593,0.719935742547092,-7.29235493745562,4.02226670017251e-13,3.74686231900769e-11,19.1788836006162
"Kif3a",-0.483908498167952,0.553225345419223,-7.2889289858948,4.1237679933426e-13,3.82053657513648e-11,19.1546592859069
"H3f3a",-0.323189683596988,0.211227909005768,-7.28046562003542,4.38542555582194e-13,4.04099186216738e-11,19.0948631035869
"Mrpl43",-0.171521271488246,0.0603688900003716,-7.27647981970164,4.51423682633518e-13,4.13732232142665e-11,19.0667253373451
"Mrpl52",-0.167312445496183,0.0560261499519288,-7.26497980070184,4.90708600318593e-13,4.47332059338559e-11,18.9856238157031
"Mrps18a",-0.331823973912493,0.238422090029733,-7.26350468203294,4.95984706034185e-13,4.49736770413018e-11,18.9752297535044
"Samd5",-0.438600903144706,0.372591544509079,-7.24853389921191,5.52785291639252e-13,4.98588934739383e-11,18.8698564236408
"Nelfa",-0.25309829299413,0.1269369821514,-7.24114059908693,5.83146598691067e-13,5.23205266730875e-11,18.8178949388562
"Tmbim4",-0.232803075424123,0.117350787067016,-7.2148666900653,7.0489225004998e-13,6.29125559507958e-11,18.6336490116017
"Tanc1",-0.370355095896946,0.278835725293348,-7.20389244958993,7.62842774285975e-13,6.77301081940261e-11,18.5568825197778
"Lmo7",-0.541565774436319,0.720863560686658,-7.17473831894517,9.40489881752825e-13,8.30701088820746e-11,18.3534901238739
"Terf1",-0.36182522033682,0.285981165391349,-7.16978237269649,9.74486064544665e-13,8.56291955788294e-11,18.3189940030275
"Spcs2",-0.282157649966644,0.162031426780723,-7.1610456304251,1.03738003250129e-12,9.06882944310232e-11,18.2582372333623
"Fubp1",-0.581176194077714,1.06317902515004,-7.14859665097568,1.13393560774115e-12,9.8623470944711e-11,18.1717879327274
"Dnm3",-0.524560349532132,0.65389283199749,-7.14692825507334,1.14752869124617e-12,9.92990944145863e-11,18.1602130956833
"Cops6",-0.27711756664486,0.162373894684775,-7.13883733316159,1.21575129243841e-12,1.04671274152513e-10,18.1041175047233
