"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Dido1",-0.939854190216702,0.415211447920861,-5.38940661725048,1.38269220451357e-07,0.000423343682274067,7.07938061592484
"Wdr33",-0.951260646400207,0.469277619169622,-5.36192035936125,1.59013826842087e-07,0.000423343682274067,6.95205283844536
"Tm9sf4",-0.952375297672114,0.428945478732942,-5.30438027078796,2.1268925218191e-07,0.000423343682274067,6.68724114062673
"Chd3",-1.27920142552185,0.939911221168484,-5.29287173970782,2.25362620321569e-07,0.000423343682274067,6.63455968616152
"Ssbp2",-1.08714307731974,0.657032851166236,-5.11871235789851,5.3465048974505e-07,0.000803472755988861,5.84895214234695
"Celsr2",-0.868254703103123,0.406057153698873,-4.98764185515393,1.00910787112441e-06,0.00126373942393814,5.27225183336891
"Scaf1",-0.790815477418747,0.333642642969033,-4.88404312615173,1.65193245260643e-06,0.00169622284362345,4.82538306992997
"Ccny",-0.935906331569825,0.51900342382839,-4.86512293290259,1.80593329105504e-06,0.00169622284362345,4.7446328924736
"Hcn1",-1.23968113284898,1.0453319779788,-4.8012563778921,2.43494798249664e-06,0.00203291101560886,4.47403090421233
"Rnf150",-0.829433113275196,0.396546802925724,-4.73867891597455,3.25340519567584e-06,0.0024271731271226,4.21186229399059
"Dner",-1.21475726986742,1.17082971494171,-4.71951191713607,3.55322124013157e-06,0.0024271731271226,4.1321531734234
"Papola",-0.898657888547834,0.536418278172975,-4.69532856230321,3.96962967161213e-06,0.00247077396537625,4.03197955552703
"Tbc1d30",-0.708473475000178,0.29654814775554,-4.67911580884702,4.27469544182743e-06,0.00247077396537625,3.96507057930568
"Lrrfip1",-1.12310113846565,0.867320954472713,-4.63719087334151,5.17184332198579e-06,0.00261538594085162,3.79297585162378
"Syngr1",-0.930514120576949,0.568333302438414,-4.62463195487039,5.47413237125797e-06,0.00261538594085162,3.74168436352696
"Fam57b",-0.845766214995309,0.463327513247628,-4.61427998466847,5.73601065648408e-06,0.00261538594085162,3.69949675904912
"Csnk1e",-0.745694668274779,0.338713299658926,-4.59474059675525,6.26350403967164e-06,0.00261538594085162,3.62009076521892
"Kit",-1.43584466851694,1.54593254236492,-4.59467925858641,6.26523115987877e-06,0.00261538594085162,3.619841953484
"Spock1",-1.10536858215113,0.872857565370878,-4.56368785726372,7.19899370947637e-06,0.00284701256489502,3.49449746679449
"Elmod1",-1.06579846655709,0.880775955016335,-4.49741527114774,9.6648952854628e-06,0.00363110115874837,3.22893617870089
"Rmdn1",-0.855088442519429,0.501877751778497,-4.44736194160659,1.20454120009154e-05,0.00430996313213707,3.03061514530777
"Fbrs",-0.391441925191508,0.0881448097459547,-4.43443795701178,1.27459758858554e-05,0.00435333012755989,2.97972325428051
"Ddx47",-0.501800384723379,0.16248278306501,-4.40472266408623,1.4507929644275e-05,0.00456181812897623,2.86320319001798
"Nup155",-0.472184582132948,0.144527545547604,-4.39684513727273,1.50128041498143e-05,0.00456181812897623,2.83242897034896
"Eif4a1",-0.825648853200729,0.455794728500453,-4.39330007024732,1.52454613998105e-05,0.00456181812897623,2.81859564802541
"Sel1l3",-0.897326928068533,0.546458760075238,-4.38527679672916,1.57848378165267e-05,0.00456181812897623,2.78732395808372
"Araf",-0.863350640111399,0.602151629543189,-4.35347832194527,1.81078147100876e-05,0.00503933776783696,2.66387985373699
"Grik2",-1.28190464494259,1.53439338966573,-4.33049812759089,1.99866400392372e-05,0.00536355761624386,2.57516131543282
"Arl4c",-1.00629572729211,0.776704477778782,-4.28839325326433,2.39232980496472e-05,0.00585663624246423,2.41368380959223
"Adgrb1",-0.999489170156476,0.792589447532255,-4.28773304483348,2.39905658539555e-05,0.00585663624246423,2.41116292100283
"Usp9x",-0.964772879340951,0.789430659021023,-4.28605526981036,2.41623267921734e-05,0.00585663624246423,2.40475817846089
"Gaa",-0.90352946205622,0.670175330012666,-4.27580949942294,2.52370131298109e-05,0.00592596614554373,2.36569403035972
"Agap1",-0.710919480900569,0.342346925537542,-4.24912014020743,2.82551742330098e-05,0.00632480066343909,2.26432365169511
"Pcdh17",-0.885294029052384,0.462908902700926,-4.24608878399122,2.86190075268737e-05,0.00632480066343909,2.25284562228979
"Disp3",-0.859720841815207,0.568513772416259,-4.2215295963842,3.17361891922593e-05,0.00681330644544675,2.16012157581804
"Usp7",-0.84305797426186,0.539445741131952,-4.21360763327156,3.28090281186394e-05,0.00683449855780621,2.13031368998743
"Taok1",-0.879936549737347,0.628475643869585,-4.20237093529473,3.43903002568793e-05,0.00683449855780621,2.08811872342996
"Rph3a",-0.967904536376073,0.80500366639437,-4.20116952358199,3.45636072926053e-05,0.00683449855780621,2.08361321774013
"Slc25a36",-0.99655834531577,0.915441991057658,-4.18584444579253,3.68487108183051e-05,0.00709951828432679,2.02624188758806
"Ptprm",-1.12723598271429,1.18363594886891,-4.16403483290266,4.03504990017538e-05,0.00735058495779866,1.94491633330974
"Slc6a1",-1.2952973288986,2.00421808956687,-4.16034270628175,4.09738700282026e-05,0.00735058495779866,1.93118622669986
"Rfc1",-0.565078398743944,0.23544886065383,-4.15471347302091,4.19419989972138e-05,0.00735058495779866,1.91027336628087
"Kctd16",-0.737637781702343,0.442550822391264,-4.1455044163964,4.35729692569075e-05,0.00735058495779866,1.87611566696992
"Atp1a3",-1.14333109441535,1.60345032077966,-4.14321219056032,4.39882314017618e-05,0.00735058495779866,1.86762397027983
"Sv2a",-1.03744104729515,1.13146049839817,-4.14303034024669,4.40213365851663e-05,0.00735058495779866,1.86695047335866
"Cdkl5",-0.896093540252131,0.669285023427273,-4.13021713573179,4.64146563033829e-05,0.00758173320573085,1.81956209539411
"Elavl2",-1.00866685549317,0.965530377169076,-4.09070748415463,5.45996034112893e-05,0.00855481345992968,1.67426424456539
"Neto2",-0.677246475866071,0.349363730681374,-4.08893589158572,5.4997052041189e-05,0.00855481345992968,1.66777838233246
"Crat",-0.458121298224285,0.133772648407452,-4.08284475851649,5.63846854409053e-05,0.00855481345992968,1.645497690903
"Bbof1",-0.53929363010466,0.239230883242916,-4.07324188066161,5.86402219433213e-05,0.00855481345992968,1.61043174375778
"Tspyl4",-1.00765413869679,0.991219319485314,-4.06567989582836,6.04765447391363e-05,0.00855481345992968,1.58287032163971
"G6pc3",-0.481781482149696,0.17085478404052,-4.06075422007322,6.17019598570287e-05,0.00855481345992968,1.56494219321142
"Aes",-0.713319260075163,0.42072348602359,-4.05797496587152,6.24037714559803e-05,0.00855481345992968,1.55483504377266
"Med4",-0.544759136292458,0.21247168115756,-4.05449434958741,6.32934014135836e-05,0.00855481345992968,1.54218602965534
"Galnt14",-0.486118447112758,0.17279604367006,-4.05160170775491,6.40419126682815e-05,0.00855481345992968,1.53168118618685
"Ckb",-1.07914077003028,1.20455505651745,-4.05146785247431,6.40767525730715e-05,0.00855481345992968,1.53119524332605
"Fstl5",-0.572687369226302,0.212676747870856,-4.04834219145533,6.48954441330838e-05,0.00855481345992968,1.51985205645874
"Calm2",-0.933184822699324,0.825734195756742,-4.04243725848525,6.64693205464079e-05,0.00861121507906394,1.49844414855242
"Itpr1",-1.01572688776602,0.866790517845663,-4.03061547172434,6.97299721894969e-05,0.00888052561070983,1.45566926857782
"Zfp608",-0.672646701887464,0.356211418971243,-4.00700577378292,7.67024635485425e-05,0.00951137179548709,1.37057837813898
"Gk",-0.429661549802556,0.142706725812152,-4.00535163727538,7.72150225611808e-05,0.00951137179548709,1.36463357916363
"Sema3c",-0.767924979487369,0.479528978029451,-3.97164532750904,8.83958879978596e-05,0.0106552935606414,1.24397689582647
"Epb41l4b",-0.598394514673769,0.275755463510592,-3.96899399756618,8.93377021986171e-05,0.0106552935606414,1.23452496228277
"Ccdc85a",-0.660570526384219,0.314134817484066,-3.96096285393734,9.22490126428289e-05,0.0108306106405971,1.20592876372961
"Igsf3",-0.42113801372522,0.126532037501859,-3.95164339846749,9.57401759075594e-05,0.0110275157670538,1.17281066870844
"Gm47283",-0.732700052383836,0.415889950662819,-3.94871886293324,9.68613309323329e-05,0.0110275157670538,1.16243236826878
"Mmp17",-0.703217194633623,0.40344617615146,-3.93779388843931,0.000101160700128124,0.0113450970263093,1.12372412483101
"Uba5",-0.726406729979504,0.406058189904724,-3.9306914364862,0.000104052186741122,0.0114977666348939,1.09861128199503
"Camta1",-0.885073581716479,0.701336561263965,-3.92164704734769,0.000107847788858069,0.0117444679055005,1.0666913006364
"Klhl33",-0.722292296371708,0.432242672192629,-3.90607389614209,0.000114692651789165,0.0122957924353864,1.0118850698338
"Sema3e",-0.882370709155869,0.586215862081654,-3.90279951577836,0.000116183292908229,0.0122957924353864,1.00038665834539
"2310057M21Rik",-0.581190036590906,0.265628603991651,-3.88125309473243,0.000126459623878014,0.0127595362752381,0.924940819907739
"Dad1",-0.607854724132845,0.318442351607844,-3.87485215520012,0.000129674638085776,0.0127595362752381,0.902600336164665
"Atp5a1",-0.889513171840476,0.746573380892768,-3.87276882162999,0.000130737626253083,0.0127595362752381,0.895336300369049
"Asph",-0.972547801886134,0.865327997972945,-3.86717940706214,0.000133630444848466,0.0127595362752381,0.875864935551942
"Abat",-0.670036163435496,0.378027435817307,-3.86599796577695,0.00013424961231787,0.0127595362752381,0.871752505824168
"Lpin1",-0.4934110021185,0.199441216787554,-3.8617910920783,0.000136476466436123,0.0127595362752381,0.857118203955072
"Phc3",-0.795825031638368,0.578342137691496,-3.86149014930975,0.000136637099356671,0.0127595362752381,0.856071877482085
"Gnas",-1.04874083376047,1.09602985839654,-3.8604135901986,0.000137213195987796,0.0127595362752381,0.852329469777109
"Tppp",-0.621862909011998,0.316226615232691,-3.85790368876231,0.000138565254589819,0.0127595362752381,0.843608046918376
"Wasf3",-0.682466780316219,0.42777269178099,-3.85705255393556,0.000139026608263506,0.0127595362752381,0.840651683080811
"Erbin",-0.588041146350126,0.291019110053668,-3.85665179559007,0.00013924434050699,0.0127595362752381,0.839259878311368
"Zcchc18",-1.04111612025212,1.40834389613617,-3.84630148189009,0.000144980752102146,0.0130903652866832,0.80335933484518
"Chd6",-1.01069237538789,1.41232740391202,-3.84390769411278,0.000146338925217113,0.0130903652866832,0.79506880719449
"Mir124a-1hg",-1.07091074796314,2.54753526680443,-3.82404349092154,0.000158082974893283,0.0139725477295651,0.72645248809564
"Khdrbs3",-0.542960346227875,0.2745400188849,-3.82106322206091,0.000159920029909848,0.0139725477295651,0.716185630650083
"Mxi1",-0.329532530291837,0.0946120443634287,-3.80879932022878,0.000167694131770111,0.0144833759324208,0.674013577258934
"Ddb2",-0.55997940935196,0.266185769514347,-3.80001653909109,0.000173479591455993,0.0145433517367646,0.643887682907308
"Akap11",-0.911580664295088,0.844435607479968,-3.79984993829931,0.000173591137520268,0.0145433517367646,0.643316834024079
"Robo1",-0.645629233155648,0.339832108236139,-3.79894970110027,0.00017419505673527,0.0145433517367646,0.640232611428362
"Med13l",-0.761734299649721,0.510037364534894,-3.7957922158315,0.000176328968482758,0.0145597348261477,0.629420275252047
"Cox7c",-0.809958527041779,0.642087183800739,-3.79032167891902,0.000180084680795303,0.0147082205597382,0.610706560298847
"Slx1b",-0.589331707491714,0.301310088315401,-3.78699647389338,0.000182404342658159,0.0147374863519721,0.59934361255182
"Atp2b2",-0.979848794751376,1.02110080497856,-3.78115491621531,0.00018654790069485,0.0149119247427777,0.579403675261875
"Hmbox1",-0.702266430722738,0.469972095564093,-3.77233075674719,0.000192976016138293,0.0152633872132961,0.549335771946767
"Mapk9",-0.789463812486909,0.634109690823069,-3.75030398346356,0.000209946448594957,0.0162722371227078,0.474559323015451
"Tmem132d",-0.35180647210049,0.100024315820586,-3.74801339131287,0.000211789885901841,0.0162722371227078,0.466806091160548
"Sorcs3",-0.576302288714843,0.32341520972444,-3.74747209419365,0.000212227739955464,0.0162722371227078,0.464974529936578
"Drap1",-0.412550681706636,0.144632194534748,-3.74372440260068,0.000215282748533323,0.0163397431563574,0.452300248483157
"Me3",-0.828562471104921,0.691351580207737,-3.73234244108478,0.000224817313961578,0.0168792833953616,0.413878480044847
"Eloc",-0.494589466746587,0.208046948357441,-3.72993526505748,0.000226884165947767,0.0168792833953616,0.405766291488194
"Xiap",-0.592059635076685,0.29436970498202,-3.72702620017637,0.000229405864298581,0.0168995653366621,0.395969097953492
"Phactr1",-1.06147658434582,1.42682883376491,-3.72094615162726,0.000234761894228297,0.017126222070208,0.375515104867329
"Gprasp2",-0.949511053685007,1.01393760104292,-3.71432054105461,0.000240732663069966,0.0173784109245185,0.353260428772051
"Golga1",-0.555165839362967,0.288515977279699,-3.71089695652848,0.000243873689057976,0.0173784109245185,0.3417751629313
"Ddx3x",-0.689691941094617,0.463350173778268,-3.70950988107106,0.000245157247537791,0.0173784109245185,0.337124621810303
"Zfp536",-1.00832670176401,1.13507771227459,-3.69650270103652,0.000257507435590885,0.0180614294077118,0.293591728432578
"Tcf4",-1.08195528219897,2.7262635791997,-3.69233259232073,0.000261589428472564,0.0180614294077118,0.279664591406388
"Phf21a",-0.533203910841897,0.244921602030052,-3.69191280997389,0.000262003700484507,0.0180614294077118,0.278263416344029
"Ttc3",-0.94120376464921,2.37906619250445,-3.68240367738406,0.000271555226395447,0.0183967324389742,0.246562209783132
"Ccdc88a",-0.972605056398287,1.36475230563846,-3.68219902963755,0.000271764346649739,0.0183967324389742,0.245880782828915
"Cox6a2",-0.499329469735378,0.217358787879656,-3.66529277241913,0.00028957354580424,0.0190293511099186,0.189706542323959
"Taf1b",-0.606303365867738,0.365625190076699,-3.66266356868559,0.000292439960013469,0.0190293511099186,0.180991736157297
"Atf4",-0.601572672212095,0.358328758929954,-3.66246665460755,0.000292655711392706,0.0190293511099186,0.180339271234097
