"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sparcl1",-0.898429118838329,0.507868179461456,-8.5162521507893,5.83972590169366e-17,4.39380976843431e-13,27.6490572724471
"Adam33",-0.947614432365656,0.615024811264502,-8.07978067045627,1.82227211311458e-15,6.85538768953706e-12,24.3580697170562
"Aifm3",-0.831765338260214,0.660760443364751,-7.63930873237988,5.01681710110936e-14,1.25821772895823e-10,21.1911795826109
"Map1a",-0.909033338072326,0.908745779785435,-7.30075691626952,5.75156941200737e-13,1.01430528729942e-09,18.8644304835791
"Atp2b2",-0.977157603942849,1.92210411687836,-7.27826617110386,6.74046575823645e-13,1.01430528729942e-09,18.7132050441869
"Akap6",-0.954068332527241,1.28699159289445,-7.15396805219615,1.6075574913144e-12,2.01587709410825e-09,17.8850085534724
"Gm47283",-0.750702194976191,0.63038234278745,-7.05007593467573,3.29105431108433e-12,3.53741323379978e-09,17.2026499777522
"Slc24a2",-0.947499752719007,1.14297789239373,-6.9355393228483,7.17444205985109e-12,6.58010877447293e-09,16.4608486437927
"Lingo1",-0.920959654756181,1.17848695454021,-6.9218122866766,7.87094351013508e-12,6.58010877447293e-09,16.3726841240712
"Ppia",-0.833295359149138,0.970506397085042,-6.57315674326353,7.8459585295656e-11,5.90329919764515e-08,14.1867728660212
"Igsf9b",-0.932443138838687,1.49151252821036,-6.52529716803347,1.06706994131236e-10,7.13387854336516e-08,13.8947795581176
"Chd4",-0.756344165999179,0.788679962295069,-6.51527212116346,1.13777967198806e-10,7.13387854336516e-08,13.8338642521029
"Dnm1",-0.850437321928873,1.51610010359602,-6.48493784336017,1.38084577192276e-10,7.99191045226683e-08,13.6500674094566
"Akap9",-0.641328964334738,0.517727620380254,-6.39181449231589,2.48959940418962e-10,1.25515758272573e-07,13.0907547549707
"Scn1b",-0.753451146817752,0.714763310024471,-6.39100487792833,2.5023077805537e-10,1.25515758272573e-07,13.0859247291606
"Tspan7",-0.795799003457501,0.877220364478767,-6.36682492525288,2.91251754339482e-10,1.36961137478141e-07,12.9419308405506
