"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Malat1",-0.316205165000769,6.17261559189732,-9.80276247938747,3.63720226229896e-22,2.73844958328488e-18,39.130945050599
"Mid1",0.557976875086408,0.442460340631924,8.97123633038656,6.85690707195001e-19,2.58128266723558e-15,31.8959444574649
"Ahcyl2",0.739512682759605,0.899446210527017,8.36746242419278,1.12493376757922e-16,2.82320877870133e-13,27.0112215397155
"Gm26917",0.698757743157111,2.233637291393,8.17599578638659,5.30230552366362e-16,9.98026457191584e-13,25.5279705809548
"Tcf4",0.640421798933947,2.16152589301743,7.63786198028755,3.47697352097716e-14,5.23562672788741e-11,21.530797576208
"Fyco1",0.60446121218447,1.04180868450674,7.3007466437291,4.18748167825518e-13,5.2545915925972e-10,19.1569133662173
"Rbm28",0.56002165931653,0.872327953056826,7.21119819144072,7.97188476860511e-13,8.57433148897541e-10,18.543321729228
"Add2",0.591594285897557,1.36778204946873,7.16609168918054,1.09953986226409e-12,1.03480445287329e-09,18.2369596037305
"Mical2",0.589936563459294,1.34477452597438,7.0661898170582,2.22669958744946e-12,1.8627579104341e-09,17.5649052963871
"Scn3b",0.503200456092634,0.587374678924826,6.92330248461898,6.01372798652403e-12,4.52773580105394e-09,16.619225126476
"Sorbs1",0.532580233852478,0.703564447415946,6.8903901686924,7.54032140925248e-12,4.77956497232803e-09,16.4039972962391
"Mcf2l",0.558892202939089,1.02315773799489,6.8888985580101,7.61784827572538e-12,4.77956497232803e-09,16.3942660817831
"Slc6a7",0.366640201091505,0.287874504434302,6.8190659581996,1.22696248290935e-11,7.10600041063423e-09,15.9409216876538
"Gm42418",-0.439189631668662,4.57832385461131,-6.78874532539559,1.50698308072695e-11,8.10433972485229e-09,15.7454513017438
"Grik5",0.543115894254393,0.91587802427812,6.75844623136182,1.8490939961082e-11,9.05652040474968e-09,15.5509475748944
"Kcnq1ot1",0.47017474132319,2.77940964231103,6.75250319705724,1.92461583843797e-11,9.05652040474968e-09,15.5128936443884
