"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mical2",0.696668409092932,1.63218081933323,8.87622047488277,1.46905088299589e-18,1.105754599631e-14,31.2867567392237
"Mid1",0.465489676480181,0.388499604567697,8.36166895023625,1.12299676367998e-16,3.15149219811272e-13,27.1071590179441
"AC149090.1",0.631104071056607,2.38213011685236,8.32745160292703,1.48594570654238e-16,3.15149219811272e-13,26.8374563825141
"Kcnq2",0.656658060739931,1.3819697198611,8.31279683990776,1.67476667894923e-16,3.15149219811272e-13,26.7222625876028
"Rnf112",0.678929340617762,1.5952098019222,8.01320921688978,1.85245415676047e-15,2.78868448758721e-12,24.4089678235859
"Atp6v0b",0.548533981378823,2.28659074468374,7.89837778194171,4.55595817551195e-15,4.87090586082696e-12,23.5433939737884
"Cpne6",0.695883998947886,1.0630565245253,7.88933294463213,4.88816281016281e-15,4.87090586082696e-12,23.4757146470277
"Trio",0.601591887841388,1.00965348080753,7.88194820962258,5.17699573357455e-15,4.87090586082696e-12,23.4205113320839
"Kcnip2",0.40967944761917,0.285884366001447,7.86030146717461,6.12404401673869e-15,5.12174214599913e-12,23.258974889557
"Gm42418",-0.521501415261175,4.55526973604236,-7.8030038164791,9.53404293253052e-15,7.17627411531572e-12,22.83341455291
"Gm26917",0.652795550541893,2.18829762236724,7.78286105533989,1.11314843594207e-14,7.61697116121451e-12,22.6845066367573
"Ide",-0.375146392908189,0.266895817223581,-7.66690671598204,2.69617593425511e-14,1.69117635476152e-11,21.8343526141464
"Gm47283",0.479356709126367,0.514059756444214,7.55055409074991,6.47092805522266e-14,3.74666734397392e-11,20.9933821320424
"Tub",0.571636945228299,0.934051981132258,7.51360276750399,8.52323882333298e-14,4.51630297160422e-11,20.7288481263599
"Grik5",0.565621938888848,0.920104221897071,7.50627926634324,9.00020520447235e-14,4.51630297160422e-11,20.6765649491515
"Zbtb20",0.880183408114771,0.954037939030376,7.46588720758334,1.21422861511003e-13,5.71218674120823e-11,20.3890685471955
